"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	-1.28534243525971
1	-1.28566113214219
2	-1.28647503993807
3	-1.28777263968841
4	-1.28953532790315
5	-1.29173783573496
6	-1.29434878527358
7	-1.29733136012852
8	-1.30064406374707
9	-1.30424153682145
10	-1.30807540472496
11	-1.31209512709951
12	-1.31624882429699
13	-1.32048405906495
14	-1.32474855631629
15	-1.32899084866546
16	-1.33316084029618
17	-1.33721028633969
18	-1.34109318904125
19	-1.34476611540919
20	-1.34818844368395
21	-1.35132254781702
22	-1.35413393025425
23	-1.35659131376375
24	-1.35866670295294
25	-1.36033542561507
26	-1.3615761632654
27	-1.36237097929441
28	-1.36270535218791
29	-1.36256822032729
30	-1.36195204405149
31	-1.36085288997853
32	-1.35927054206951
33	-1.3572086435779
34	-1.35467487385119
35	-1.35168116392057
36	-1.3482439548985
37	-1.34438450336707
38	-1.34012923814193
39	-1.33551017298859
40	-1.33056537999302
41	-1.32533952827655
42	-1.31988449250152
43	-1.31426003501219
44	-1.30853456431424
45	-1.30278597066136
46	-1.29710253642366
47	-1.29158391414739
48	-1.28634215806154
49	-1.28150278425939
50	-1.27720581956312
51	-1.27360677744346
52	-1.27087746915949
53	-1.26920651697274
54	-1.26879938119938
55	-1.26987764176764
56	-1.27267718725594
57	-1.27744486330136
58	-1.28443302829264
59	-1.29389138030665
60	-1.30605539692454
61	-1.32113083465161
62	-1.33927405682903
63	-1.36056859671891
64	-1.38499938189775
65	-1.41242740562445
66	-1.44256908601494
67	-1.47498559657105
68	-1.50908738081941
69	-1.54415727166604
70	-1.57939206157527
71	-1.61395784987067
72	-1.64705063390322
73	-1.67795204576728
74	-1.70607157915186
75	-1.73097044345731
76	-1.75236671123443
77	-1.77012506478166
78	-1.78423632140646
79	-1.79479205214079
80	-1.80195859990922
81	-1.80595335481174
82	-1.80702477532803
83	-1.80543660979534
84	-1.80145612063419
85	-1.79534578117764
86	-1.78735780324509
87	-1.77773087218849
88	-1.76668854806741
89	-1.75443889427761
90	-1.7411749947802
91	-1.7270761071866
92	-1.71230926802356
93	-1.69703121916736
94	-1.68139056307509
95	-1.66553008191249
96	-1.64958917467544
97	-1.63370637914105
98	-1.61802195357771
99	-1.60268049754424
100	-1.58783359208139
101	-1.57364243667352
102	-1.56028045225317
103	-1.54793580403079
104	-1.53681377176983
105	-1.52713885377125
106	-1.51915642843152
107	-1.51313370679912
108	-1.50935958373552
109	-1.50814282850522
110	-1.50980784851176
111	-1.5146870276189
112	-1.52310842634676
113	-1.53537752568566
114	-1.55175185685099
115	-1.57240801648374
116	-1.59740198491479
117	-1.62662601385086
118	-1.65976845858551
119	-1.696285987575
120	-1.73539904347109
121	-1.77611938757237
122	-1.81731206481931
123	-1.85778448724776
124	-1.89638636000181
125	-1.9321003073914
