"Phi [deg]"	"mag(rETheta) [V] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	1.73931321554323
1	1.73990866215805
2	1.74167661330922
3	1.74460340965056
4	1.74866659904068
5	1.75383501965302
6	1.76006892497335
7	1.76732015708257
8	1.77553237457738
9	1.78464134054284
10	1.79457527423797
11	1.80525526776015
12	1.81659576615361
13	1.82850510649832
14	1.84088610873481
15	1.85363670859767
16	1.86665062124304
17	1.87981802309247
18	1.89302623912999
19	1.90616042336569
20	1.9191042213371
21	1.93174040523507
22	1.94395147436032
23	1.95562021597588
24	1.96663022406198
25	1.97686637586326
26	1.98621526833313
27	1.99456561854755
28	2.00180863383801
29	2.00783835876848
30	2.01255200717074
31	2.01585028829229
32	2.01763773675071
33	2.01782305648175
34	2.01631948926513
35	2.01304521875476
36	2.007923821254
37	2.00088477477274
38	1.99186403817281
39	1.98080471242696
40	1.96765779614586
41	1.95238304751848
42	1.93494996460844
43	1.91533889549548
44	1.89354228898425
45	1.86956609545895
46	1.84343132585944
47	1.81517577458295
48	1.78485590920494
49	1.75254892599206
50	1.71835496481744
51	1.68239946960594
52	1.64483566980689
53	1.60584714310709
54	1.56565039753561
55	1.524497379435
56	1.48267776892595
57	1.44052086247113
58	1.39839675927829
59	1.35671646290787
60	1.31593038496227
61	1.27652460737141
62	1.23901415296173
63	1.20393248239543
64	1.17181655464724
65	1.14318714620345
66	1.11852478983651
67	1.09824265991306
68	1.08265885061354
69	1.07197145163655
70	1.0662402068769
71	1.06537800710097
72	1.06915397868203
73	1.0772078560888
74	1.08907332045377
75	1.10420667891333
76	1.12201695533587
77	1.14189405411556
78	1.16323276007784
79	1.18545152005363
80	1.20800591463507
81	1.23039735096442
82	1.2521778072343
83	1.27295152341057
84	1.29237445797995
85	1.31015219526311
86	1.3260368423023
87	1.3398233247952
88	1.35134538776018
89	1.36047152884703
90	1.36710103626855
91	1.37116026367173
92	1.37259924559069
93	1.3713887350876
94	1.36751772661116
95	1.36099150991409
96	1.35183028395142
97	1.34006834266349
98	1.32575382761281
99	1.30894902611848
100	1.28973117849336
101	1.26819374488104
102	1.24444807144424
103	1.21862538732619
104	1.19087905739693
105	1.16138701008417
106	1.13035425243206
107	1.09801537265007
108	1.06463690918778
109	1.03051942873072
110	0.995999096159528
111	0.961448429903138
112	0.927275810947312
113	0.893923155073238
114	0.861860983844574
115	0.831579987119916
116	0.803578146265848
117	0.778342714095231
118	0.756326972579947
119	0.737922799427333
120	0.723431570298609
121	0.713037407775663
122	0.706787597313479
123	0.704584474304849
124	0.706191058726265
125	0.711249742710715
126	0.71931054524784
127	0.72986388397323
128	0.742372862150443
129	0.756301357233246
130	0.771135969369967
131	0.78640147159647
132	0.801670456708065
133	0.816568371618657
134	0.830775212329565
135	0.844025001348526
136	0.856103927160428
137	0.866847778904673
138	0.876139099232909
139	0.883904315629037
140	0.890110991671477
141	0.894765255667257
142	0.897909405038243
143	0.899619642559578
144	0.900003868971314
145	0.89919943171112
146	0.897370709652732
147	0.894706398726382
148	0.891416354824528
149	0.887727851747968
150	0.88388112772215
151	0.880124129437952
152	0.876706422245559
153	0.873872321118376
154	0.871853406482833
155	0.870860712118411
156	0.871076991311383
157	0.872649558291707
158	0.875684239312807
159	0.880240932248832
160	0.886331159806957
161	0.893917822359991
162	0.902917142118863
163	0.913202580486744
164	0.924610342697407
165	0.936945983646326
166	0.949991603751817
167	0.96351316439585
168	0.977267538566172
169	0.991009019842946
170	1.004495120825
171	1.01749158591324
172	1.02977661567119
173	1.04114434930364
174	1.05140768055106
175	1.06040049477879
176	1.06797941591709
177	1.07402514532674
178	1.07844346385956
179	1.08116595561003
180	1.08215049851488
181	1.08138155378504
182	1.0788702734071
183	1.07465443257813
184	1.06879818171588
185	1.06139160033132
186	1.05255002232588
187	1.04241308909498
188	1.03114347338954
189	1.01892520386196
190	1.00596150890407
191	0.992472090907508
192	0.978689741558868
193	0.964856219290382
194	0.95121733623166
195	0.938017248436048
196	0.925492012648876
197	0.913862564711039
198	0.903327382399076
199	0.894055205467425
200	0.886178277426367
201	0.879786623030941
202	0.874923860871353
203	0.871584960266644
204	0.869716190819896
205	0.869217304787816
206	0.869945773833993
207	0.871722713354687
208	0.87434000187357
209	0.877568055836294
210	0.881163748403508
211	0.884878046503456
212	0.888463058115112
213	0.891678306642457
214	0.894296162298856
215	0.896106450591225
216	0.896920321573209
217	0.89657350209134
218	0.894929071202135
219	0.891879901552952
220	0.887350901530668
221	0.881301177842852
222	0.873726217738003
223	0.864660164374011
224	0.854178226157223
225	0.842399217519157
226	0.829488168888379
227	0.815658860002764
228	0.801176014594589
229	0.786356738494541
230	0.77157058609514
231	0.757237415560622
232	0.743821982744751
233	0.731824111173566
234	0.721763392166814
235	0.71415787307582
236	0.709497197008919
237	0.70821211513773
238	0.710643873337668
239	0.717018072271558
240	0.727427561365532
241	0.741827458526205
242	0.760042857443919
243	0.781787120743039
244	0.806686839258254
245	0.834309059814412
246	0.864187088330551
247	0.895842497755263
248	0.928802325410737
249	0.962611470774129
250	0.996840901295579
251	1.03109250790826
252	1.06500145098868
253	1.09823671946326
254	1.13050047186021
255	1.161526583284
256	1.19107870526166
257	1.21894805956732
258	1.24495112853392
259	1.26892736655506
260	1.29073703396987
261	1.3102592398117
262	1.32739026978051
263	1.34204226730122
264	1.35414232675597
265	1.36363204788965
266	1.37046758861734
267	1.37462024012784
268	1.3760775337075
269	1.37484487367575
270	1.3709476757667
271	1.36443397554679
272	1.35537745697815
273	1.34388083640816
274	1.33007952072143
275	1.31414543783887
276	1.29629090983494
277	1.27677239923285
278	1.25589390226259
279	1.23400968371221
280	1.21152594283655
281	1.18890086987066
282	1.16664240933836
283	1.14530291788229
284	1.1254698432146
285	1.10775163614716
286	1.09275843522218
287	1.08107771288799
288	1.07324604860942
289	1.06971936052259
290	1.07084497144944
291	1.07683938340006
292	1.08777522990551
293	1.10357950071932
294	1.1240431273551
295	1.14884001199483
296	1.17755220046186
297	1.20969746679458
298	1.24475602027562
299	1.28219401899427
300	1.32148267309416
301	1.36211265078105
302	1.40360412995221
303	1.44551316921953
304	1.48743517467322
305	1.52900619937441
306	1.56990270375621
307	1.60984027590573
308	1.6485716886685
309	1.68588456784141
310	1.72159886528731
311	1.75556427077408
312	1.78765765303267
313	1.81778058999723
314	1.84585702695365
315	1.87183108660516
316	1.89566504479163
317	1.91733747830101
318	1.93684158588538
319	1.95418367958345
320	1.96938184034509
321	1.9824647295023
322	1.99347054569202
323	2.00244611532722
324	2.00944610358601
325	2.01453233211054
326	2.01777318915059
327	2.019243117719
328	2.01902216741635
329	2.01719559589461
330	2.01385350643131
331	2.00909050874561
332	2.00300539098322
333	1.99570079171185
334	1.98728286179801
335	1.97786090718141
336	1.96754700483525
337	1.95645558561112
338	1.94470297922895
339	1.93240691838934
340	1.91968600085061
341	1.90665911030262
342	1.89344479893619
343	1.88016063668468
344	1.866922534109
345	1.85384404770096
346	1.84103567787024
347	1.82860417093519
348	1.8166518369488
349	1.80527589507522
350	1.79456785745213
351	1.78461296104283
352	1.77548965498036
353	1.76726914847208
354	1.76001502166772
355	1.75378289923122
356	1.74862018395283
357	1.74456584583072
358	1.74165026084041
359	1.73989509321782
360	1.73931321554323
