"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	-0.46156945149401
1	-0.534019439498311
2	-0.604244413129954
3	-0.672380836399879
4	-0.738557520686171
5	-0.802897870537109
6	-0.86552226677252
7	-0.926550552850156
8	-0.98610459895578
9	-1.04431092266366
10	-1.10130334556113
11	-1.15722566145254
12	-1.21223428232791
13	-1.2665008108977
14	-1.32021445970883
15	-1.37358419190427
16	-1.42684039141934
17	-1.48023577351911
18	-1.53404511258227
19	-1.58856318766527
20	-1.64410012966721
21	-1.70097311544723
22	-1.7594931441132
23	-1.81994555079118
24	-1.88256313697162
25	-1.94749157077443
26	-2.0147483039299
27	-2.08417880472484
28	-2.15541715731778
29	-2.22786106529973
30	-2.30067230614644
31	-2.3728108426008
32	-2.44310342016813
33	-2.51033739612664
34	-2.57336198684636
35	-2.63117644613367
36	-2.68298936260174
37	-2.72824275671801
38	-2.76660432065665
39	-2.79793728650188
40	-2.82225899830236
41	-2.83969748629267
42	-2.85045213303976
43	-2.85476140761657
44	-2.85287836386181
45	-2.84505326579979
46	-2.8315221183033
47	-2.81249977166283
48	-2.78817640714731
49	-2.75871644540246
50	-2.72425916565212
51	-2.68492054149361
52	-2.64079597510261
53	-2.59196374511214
54	-2.53848907817544
55	-2.48042881446154
56	-2.41783666564536
57	-2.3507690608256
58	-2.27929154016149
59	-2.20348558668057
60	-2.12345568468175
61	-2.03933626469231
62	-1.95129805475552
63	-1.85955323136543
64	-1.76435868623438
65	-1.66601673776263
66	-1.56487275300898
67	-1.4613094205263
68	-1.35573780504295
69	-1.24858575974981
70	-1.14028467839996
71	-1.03125583970364
72	-0.921897660077966
73	-0.812575010412366
74	-0.703611410706342
75	-0.595284479556289
76	-0.487824582904556
77	-0.381416279713304
78	-0.276201945919329
79	-0.172286877283912
80	-0.0697452022410545
81	0.0313739609643755
82	0.131040531717284
83	0.229237968433471
84	0.325958411020419
85	0.421198535912212
86	0.514956128141765
87	0.607227333622148
88	0.698004534418499
89	0.787274785065044
90	0.875018754243226
91	0.961210129645458
92	1.045815461801
93	1.12879444296956
94	1.21010063828291
95	1.28968270659
96	1.36748616611618
97	1.44345577262476
98	1.51753858186722
99	1.58968775918696
100	1.65986717160159
101	1.7280567454183
102	1.79425849008882
103	1.85850297423388
104	1.9208558963777
105	1.98142423455406
106	2.04036131184137
107	2.09787001791273
108	2.15420342595543
109	2.20966218109293
110	2.26458832977218
111	2.31935568918933
112	2.37435735437049
113	2.42999140331479
114	2.48664617430694
115	2.5446865706283
116	2.60444267421331
117	2.66620156904424
118	2.73020278641979
119	2.79663730204771
120	2.86564963225643
121	2.93734234317715
122	3.01178220632126
123	3.08900727686961
124	-3.11415101506589
125	-3.03131936502952
126	-2.94568758887459
127	-2.85726113224451
128	-2.76604077040734
129	-2.6720176627291
130	-2.57516905001803
131	-2.47545458044965
132	-2.37281328295254
133	-2.26716126794763
134	-2.15839032549886
135	-2.04636771278921
136	-1.93093757814508
137	-1.8119246545956
138	-1.68914105744321
139	-1.56239720015013
140	-1.43151792625437
141	-1.2963648151696
142	-1.15686507422106
143	-1.01304627090016
144	-0.865074252816667
145	-0.713289067983535
146	-0.558231136639985
