"Phi [deg]"	"mag(rETheta) [V] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	0.719281722421318
-179	0.714177383581589
-178	0.708798946126447
-177	0.7031442142106
-176	0.69721234133918
-175	0.691003973208049
-174	0.684521373685347
-173	0.67776853317895
-172	0.67075125888932
-171	0.66347724666495
-170	0.655956134358567
-169	0.64819953672804
-168	0.640221062039096
-167	0.632036310610943
-166	0.62366285560491
-165	0.615120206394799
-164	0.606429754881232
-163	0.597614705126085
-162	0.588699986693122
-161	0.579712152092838
-160	0.570679258749171
-159	0.561630735938725
-158	0.552597237204505
-157	0.543610478820553
-156	0.53470306498465
-155	0.525908300545914
-154	0.517259992233233
-153	0.508792239538015
-152	0.500539216617176
-151	0.492534946813701
-150	0.484813071633961
-149	0.477406616261761
-148	0.470347753915277
-147	0.463667571548851
-146	0.457395839550656
-145	0.45156078817349
-144	0.44618889344561
-143	0.441304675231831
-142	0.436930509948573
-141	0.433086460183771
-140	0.429790123146002
-139	0.42705649948689
-138	0.424897883633567
-137	0.423323776363961
-136	0.422340819986835
-135	0.421952756176212
-134	0.422160406272793
-133	0.422961673708625
-132	0.424351568128609
-131	0.426322250755211
-130	0.42886310054469
-129	0.431960800684393
-128	0.435599444952933
-127	0.439760663386251
-126	0.44442376655015
-125	0.449565907512366
-124	0.455162260343802
-123	0.461186213677077
-122	0.467609577534226
-121	0.474402801329593
-120	0.481535200682704
-119	0.488975190459016
-118	0.496690521308495
-117	0.504648516900853
-116	0.512816309063885
-115	0.521161068114029
-114	0.529650225818179
-113	0.538251688631971
-112	0.546934039109643
-111	0.55566672366092
-110	0.56442022512818
-109	0.573166218960437
-108	0.581877712058813
-107	0.590529163652124
-106	0.599096587823912
-105	0.607557637548224
-104	0.615891670297213
-103	0.624079795457073
-102	0.632104903929739
-101	0.639951680407018
-100	0.647606598883608
-99	0.655057902029322
-98	0.662295565072763
-97	0.669311244864032
-96	0.676098214788348
-95	0.682651286201842
-94	0.688966717061783
-93	0.69504210843253
-92	0.700876289571953
-91	0.706469192346897
-90	0.711821715795855
-89	0.716935581756683
-88	0.721813182610188
-87	0.726457422358241
-86	0.730871552457527
-85	0.735059004064714
-84	0.739023218610827
-83	0.742767478904788
-82	0.746294743258458
-81	0.749607485415896
-80	0.752707543343562
-79	0.755595980179796
-78	0.7582729608342
-77	0.760737647853426
-76	0.762988120213182
-75	0.765021318642602
-74	0.766833020925251
-73	0.768417850343244
-72	0.769769320034479
-71	0.770879915519881
-70	0.771741217035187
-69	0.772344062582578
-68	0.772678751818071
-67	0.772735290031149
-66	0.772503670576041
-65	0.771974193202285
-64	0.771137814828124
-63	0.769986528423763
-62	0.768513764838925
-61	0.766714811632032
-60	0.76458724224286
-59	0.762131348196888
-58	0.75935056643254
-57	0.756251893292069
-56	0.752846276199429
-55	0.749148973549853
-54	0.74517987284335
-53	0.740963756601812
-52	0.73653050512142
-51	0.731915224650709
-50	0.727158289195446
-49	0.722305283911083
-48	0.71740683806466
-47	0.71251833598397
-46	0.707699495454481
-45	0.703013804895992
-44	0.698527813584345
-43	0.694310273389803
-42	0.690431136126227
-41	0.686960417660596
-40	0.683966948248746
-39	0.681517037724518
-38	0.679673093488581
-37	0.67849223777782
-36	0.678024977330444
-35	0.678313982151139
-34	0.679393029651367
-33	0.68128616540586
-32	0.68400712210918
-31	0.687559024676697
-30	0.691934393072933
-29	0.697115437070677
-28	0.703074620613679
-27	0.709775459485387
-26	0.717173505852807
-25	0.725217467624737
-24	0.73385040945412
-23	0.743010985079938
-22	0.752634656613639
-21	0.76265486422132
-20	0.773004118346131
-19	0.783614995226979
-18	0.79442102431141
-17	0.805357462805258
-16	0.816361957857883
-15	0.827375100745087
-14	0.838340880005073
-13	0.849207042002125
-12	0.859925368061804
-11	0.870451877360426
-10	0.88074696435643
-9	0.890775478884902
-8	0.900506756225263
-7	0.909914603589014
-6	0.91897724862256
-5	0.927677254719539
-4	0.936001407209655
-3	0.943940573846226
-2	0.951489542453652
-1	0.958646838115176
0	0.96541452187517
1	0.97179797259295
2	0.97780565331211
3	0.983448863297726
4	0.988741476742612
5	0.99369966905399
6	0.998341631605801
7	1.00268727588234
8	1.00675792804876
9	1.01057601516479
10	1.01416474450904
11	1.01754777779879
12	1.02074890246654
13	1.02379170257664
14	1.02669923241702
15	1.02949369625863
16	1.03219613821385
17	1.03482614651446
18	1.03740157683888
19	1.03993829951662
20	1.04244997549717
21	1.04494786586692
22	1.04744067941499
23	1.0499344622798
24	1.05243253305421
25	1.05493546590256
26	1.05744112327001
27	1.05994473867684
28	1.0624390489273
29	1.06491447386875
30	1.06735934065927
31	1.06976014838554
32	1.07210186786027
33	1.07436827055426
34	1.07654227991107
35	1.0786063377711
36	1.08054277830608
37	1.08233420173667
38	1.08396384016861
39	1.08541590812381
40	1.08667593074558
41	1.08773104320078
42	1.08857025546469
43	1.08918467743496
44	1.08956770015676
45	1.08971512983354
46	1.0896252722274
47	1.08929896600458
48	1.08873956454028
49	1.08795286665078
50	1.08694699765754
51	1.0857322430974
52	1.08432083826432
53	1.08272671758996
54	1.08096522863201
55	1.07905281612672
56	1.07700668216302
57	1.07484442903437
58	1.07258369170717
59	1.07024176709546
60	1.06783524743823
61	1.0653796650265
62	1.0628891553148
63	1.06037614507358
64	1.05785107169865
65	1.05532213910055
66	1.05279511476846
67	1.05027317166357
68	1.04775677757536
69	1.04524363350672
70	1.0427286615772
71	1.04020404188637
72	1.03765929679886
73	1.03508142023112
74	1.03245504876436
75	1.02976267079891
76	1.02698486951138
77	1.02410059508261
78	1.02108746152247
79	1.01792206341751
80	1.01458030804694
81	1.01103775853146
82	1.00726998397128
83	1.0032529128689
84	0.998963186495584
85	0.994378509223414
86	0.989477993191417
87	0.984242494985903
88	0.978654942282838
89	0.972700648613892
90	0.966367614573543
91	0.959646813879235
92	0.952532462729151
93	0.945022270872575
94	0.937117672716099
95	0.928824036634925
96	0.920150850441135
97	0.911111880678306
98	0.901725303061806
99	0.892013800964305
100	0.882004628355648
101	0.871729633047479
102	0.861225235474223
103	0.85053235758031
104	0.839696295709346
105	0.828766530752317
106	0.817796468279341
107	0.806843101050036
108	0.795966586297337
109	0.785229730663398
110	0.77469737681134
111	0.7644356877303
112	0.754511327767815
113	0.744990543592024
114	0.735938153647459
115	0.727416461127718
116	0.719484112770135
117	0.712194933393537
118	0.705596773348193
119	0.699730412052904
120	0.694628564604785
121	0.690315039173766
122	0.686804089882343
123	0.684100002870613
124	0.682196942526403
125	0.681079071238896
126	0.68072094079681
127	0.681088138263041
128	0.682138155405215
129	0.683821439896124
130	0.686082579422911
131	0.688861566907078
132	0.692095096037594
133	0.695717840612557
134	0.699663677851792
135	0.703866823871821
136	0.708262857960491
137	0.71278962038138
138	0.717387975637402
139	0.72200243912133
140	0.72658166977319
141	0.731078834798839
142	0.73545185482806
143	0.739663539303046
144	0.743681622601194
145	0.747478711608896
146	0.751032155346358
147	0.754323846933386
148	0.757339967782748
149	0.7600706834788
150	0.762509800384436
151	0.764654391637197
152	0.766504400847103
153	0.768062231484857
154	0.7693323296328
155	0.770320767442438
156	0.771034834280916
157	0.771482642135931
158	0.771672751369238
159	0.77161382235294
160	0.771314297885943
161	0.770782120572003
162	0.770024488553778
163	0.769047652152828
164	0.767856753082193
165	0.766455706998334
166	0.764847129267476
167	0.763032302963227
168	0.761011187312243
169	0.758782464085116
170	0.756343618809025
171	0.753691053171239
172	0.75082022459692
173	0.747725808724278
174	0.744401880362965
175	0.740842108500838
176	0.73703996100922
177	0.732988914873446
178	0.728682668028171
179	0.724115349188461
180	0.719281722421318
