"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	-1.02561945148402
-179	-1.0591054442907
-178	-1.09075280317497
-177	-1.12055139972482
-176	-1.14849284555509
-175	-1.1745704405671
-174	-1.19877911347892
-173	-1.22111535738299
-172	-1.24157716295355
-171	-1.26016395177527
-170	-1.27687651210464
-169	-1.29171693921308
-168	-1.30468858229653
-167	-1.31579599977206
-166	-1.32504492461301
-165	-1.33244224119557
-164	-1.33799597493136
-163	-1.3417152957317
-162	-1.34361053607484
-161	-1.34369322411107
-160	-1.34197613182467
-159	-1.33847333775705
-158	-1.33320030316615
-157	-1.32617395973845
-156	-1.31741280607541
-155	-1.30693700914806
-154	-1.29476850576923
-153	-1.28093109790818
-152	-1.26545053442614
-151	-1.24835457063012
-150	-1.22967299603934
-149	-1.20943762007564
-148	-1.18768220518565
-147	-1.16444233734854
-146	-1.13975522517577
-145	-1.11365942099268
-144	-1.0861944604658
-143	-1.05740042147122
-142	-1.0273174078397
-141	-0.995984969082633
-140	-0.963441472793784
-139	-0.929723451626538
-138	-0.894864951005503
-137	-0.858896906500148
-136	-0.821846580616551
-135	-0.783737087372837
-134	-0.744587029366672
-133	-0.704410266330564
-132	-0.66321582686214
-131	-0.621007966767894
-130	-0.577786369037043
-129	-0.533546472643176
-128	-0.488279910836979
-127	-0.441975034847766
-126	-0.394617496229873
-125	-0.346190860504633
-124	-0.2966772260729
-123	-0.246057825252491
-122	-0.194313588273467
-121	-0.141425655654834
-120	-0.0873758291298376
-119	-0.0321469557986837
-118	0.024276755819092
-117	0.0819094858646459
-116	0.140763614865734
-115	0.200849590877624
-114	0.262175844773037
-113	0.324748745986086
-112	0.388572591069347
-111	0.453649617835955
-110	0.519980038513104
-109	0.587562086129452
-108	0.656392069215409
-107	0.726464430750766
-106	0.797771808106056
-105	0.870305091465308
-104	0.9440534788749
-103	1.01900452663184
-102	1.09514419420855
-101	1.17245688331775
-100	1.25092547106085
-99	1.33053133738867
-98	1.41125438734512
-97	1.49307306877474
-96	1.57596438636197
-95	1.65990391304266
-94	1.74486579999081
-93	1.83082278654027
-92	1.91774621155296
-91	2.00560602788993
-90	2.09437082177771
-89	2.18400783898183
-88	2.27448301979729
-87	2.36576104493105
-86	2.45780539437581
-85	2.55057842134593
-84	2.64404144325574
-83	2.73815485155803
-82	2.83287824201909
-81	2.9281705666817
-80	3.02399030835801
-79	3.12029567800403
-78	-3.06614047241518
-77	-2.96898917932585
