"Phi [deg]"	"mag(rETheta) [V] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	0.714996328805223
-179	0.710784084051423
-178	0.706712077430704
-177	0.702851844922897
-176	0.69927684755406
-175	0.696061261409702
-174	0.693278642156861
-173	0.691000491734395
-172	0.689294764945017
-171	0.688224363297806
-170	0.68784567140578
-169	0.688207196248791
-168	0.689348370496334
-167	0.691298577040149
-166	0.694076442691469
-165	0.697689435154173
-164	0.702133780117646
-163	0.70739469641005
-162	0.713446928675777
-161	0.720255540968467
-160	0.727776922544843
-159	0.735959949918397
-158	0.744747247068245
-157	0.754076488117598
-156	0.763881692835346
-155	0.774094473760763
-154	0.784645203368172
-153	0.795464079389283
-152	0.806482075364798
-151	0.817631771163226
-150	0.82884806431529
-149	0.840068767519101
-148	0.851235100683342
-147	0.862292087595802
-146	0.873188867977982
-145	0.883878935562461
-144	0.894320312138085
-143	0.904475666445985
-142	0.914312385537792
-141	0.923802604851122
-140	0.932923201910521
-139	0.941655757292481
-138	0.949986485348527
-137	0.957906136193039
-136	0.965409869653255
-135	0.972497101260502
-134	0.979171319940834
-133	0.98543987684176
-132	0.991313744707865
-131	0.996807247386055
-130	1.0019377593916
-129	1.00672537598516
-128	1.01119255487991
-127	1.01536373149322
-126	1.01926491054816
-125	1.02292323778244
-124	1.02636655649271
-123	1.02962295458623
-122	1.03272030867847
-121	1.03568583251369
-120	1.0385456375462
-119	1.04132431385643
-118	1.04404453965164
-117	1.0467267273878
-116	1.04938871403597
-115	1.05204550220636
-114	1.05470905775727
-113	1.05738816819321
-112	1.0600883646493
-111	1.06281190863346
-110	1.0655578430263
-109	1.06832210519636
-108	1.07109769854713
-107	1.07387491743668
-106	1.07664161925064
-105	1.07938353650285
-104	1.08208462120286
-103	1.08472741336912
-102	1.08729342546823
-101	1.08976353469851
-100	1.0921183753758
-99	1.09433872417957
-98	1.09640587163571
-97	1.0983019739058
-96	1.10001037968403
-95	1.10151592773741
-94	1.10280521133845
-93	1.10386680651125
-92	1.10469146163242
-91	1.10527224649173
-90	1.10560465942624
-89	1.10568669160321
-88	1.10551884795189
-87	1.10510412464616
-86	1.10444794343549
-85	1.1035580435248
-84	1.10244433213173
-83	1.10111869531325
-82	1.09959477116386
-81	1.09788768804881
-80	1.09601377114866
-79	1.09399022124826
-78	1.09183477039292
-77	1.08956531973394
-76	1.0871995655703
-75	1.08475462022847
-74	1.08224663497028
-73	1.07969043254021
-72	1.07709915721665
-71	1.07448395028087
-70	1.07185365863142
