"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	-1.03072900217584
-179	-0.995752398566171
-178	-0.958967718277333
-177	-0.920392757622619
-176	-0.880046892202211
-175	-0.83795102557057
-174	-0.794127517698378
-173	-0.748600090836673
-172	-0.701393710738769
-171	-0.652534441663751
-170	-0.602049274169278
-169	-0.549965925390348
-168	-0.496312612275542
-167	-0.441117799087833
-166	-0.384409921341462
-165	-0.326217089204566
-164	-0.266566774211632
-163	-0.205485483864772
-162	-0.142998429326464
-161	-0.0791291918938487
-160	-0.0138993942811856
-159	0.0526716170816422
-158	0.120567072491749
-157	0.1897730560056
-156	0.260278753095736
-155	0.332076663207386
-154	0.405162771740111
-153	0.479536676189711
-152	0.555201661309799
-151	0.632164718149249
-150	0.71043650166056
-149	0.790031221237786
-148	0.870966458033501
-147	0.95326290224769
-146	1.03694400283279
-145	1.12203552130834
-144	1.20856498075713
-143	1.29656100076204
-142	1.38605250926878
-141	1.47706782341009
-140	1.56963359353289
-139	1.66377360839653
-138	1.75950746512429
-137	1.85684911530895
-136	1.95580530889026
-135	2.05637397000883
-134	2.15854255363053
-133	2.26228644750206
-132	2.36756749956938
-131	2.47433276441423
-130	2.58251357110682
-129	2.69202501645184
-128	2.80276597941911
-127	2.91461973283004
-126	3.02745519670394
-125	3.14112883550719
-124	-3.02769815473935
-123	-2.91281562391755
-122	-2.79757296063488
-121	-2.6821343339655
-120	-2.56666048621196
-119	-2.45130542578144
-118	-2.33621349815814
-117	-2.2215169686534
-116	-2.10733420337051
-115	-1.99376848411376
-114	-1.88090744518445
-113	-1.76882308017069
-112	-1.65757223801887
-111	-1.54719751085748
-110	-1.43772841045268
-109	-1.3291827338164
-108	-1.22156802877512
-107	-1.11488308458783
-106	-1.00911938863775
-105	-0.904262505996326
-104	-0.800293353026295
-103	-0.69718934844351
-102	-0.594925435108956
-101	-0.493474973300944
-100	-0.392810511540964
-99	-0.292904444537718
-98	-0.193729569826658
-97	-0.0952595555587863
-96	0.00253066806351671
-95	0.0996645817411945
-94	0.196163803374401
-93	0.292047857789097
-92	0.387333981237351
-91	0.482036953306307
-90	0.576168950151139
-89	0.669739414205089
-88	0.762754936698239
-87	0.855219150426428
-86	0.947132631248858
-85	1.03849280775379
-84	1.12929387941286
-83	1.21952674433921
-82	1.30917893846286
-81	1.39823458852636
-80	1.48667438176687
-79	1.57447555547074
-78	1.6616119097432
-77	1.74805384681254
-76	1.83376843997036
-75	1.91871953483244
-74	2.00286788498732
-73	2.08617132329746
-72	2.16858496915467
-71	2.2500614709046
-70	2.3305512814962
-69	2.41000296423736
-68	2.48836352441575
-67	2.5655787615381
-66	2.64159363611724
-65	2.71635264434694
-64	2.78980019369115
-63	2.86188097239979
-62	2.93254030625103
-61	3.00172449639409
-60	3.06938113299115
-59	3.13545938038279
-58	-3.083275076514
-57	-3.02049858337246
-56	-2.95944117351568
-55	-2.90014518673093
-54	-2.84265045592024
-53	-2.78699421599003
-52	-2.7332110389235
-51	-2.68133279129133
-50	-2.63138861016419
-49	-2.58340489330762
-48	-2.53740529965533
-47	-2.4934107563493
-46	-2.45143946908113
-45	-2.41150693304089
-44	-2.37362594245009
-43	-2.33780659739425
-42	-2.30405630745036
-41	-2.27237979239622
-40	-2.24277908106444
-39	-2.21525351013611
-38	-2.18979972532891
-37	-2.16641168799634
-36	-2.1450806905896
-35	-2.12579538471883
-34	-2.10854182566231
-33	-2.09330353709467
-32	-2.08006159952633
-31	-2.06879476546541
-30	-2.05947960363613
-29	-2.05209067373587
-28	-2.04660073221587
-27	-2.04298096847217
-26	-2.04120126968559
-25	-2.04123051141263
-24	-2.04303686996567
-23	-2.04658815169199
-22	-2.05185213352368
-21	-2.05879690866757
-20	-2.06739123106697
-19	-2.07760485230788
-18	-2.08940884495536
-17	-2.10277590686789
-16	-2.11768064180952
-15	-2.13409981261019
-14	-2.15201256415516
-13	-2.17140061455325
-12	-2.19224841388101
-11	-2.21454327087219
-10	-2.23827544877424
-9	-2.26343823229229
-8	-2.2900279680638
-7	-2.31804408144329
-6	-2.34748907252513
-5	-2.37836849429974
-4	-2.4106909156394
-3	-2.44446787145752
-2	-2.47971380190102
-1	-2.51644598183222
0	-2.55468444115341
1	-2.59445187573281
2	-2.63577354781693
3	-2.67867717386567
4	-2.72319279672909
5	-2.76935263800278
6	-2.81719092525896
7	-2.86674368766592
8	-2.91804851230158
9	-2.97114425227432
10	-3.02607067664439
11	-3.08286805117744
12	-3.14157663827882
13	3.08094920296481
14	3.01830048504451
15	2.95362624645314
16	2.88689325633035
17	2.81807238061396
18	2.74713976429973
19	2.67407812663559
20	2.59887814860339
21	2.5215399195732
22	2.4420743957881
23	2.36050480820623
24	2.27686794256184
25	2.19121520220412
26	2.10361335665129
27	2.01414487835364
28	1.92290777916106
29	1.83001487794447
30	1.7355924619169
31	1.63977834485554
32	1.54271937212639
33	1.44456846996073
34	1.34548137867294
35	1.2456132404127
36	1.14511522692118
37	1.04413138927613
38	0.942795890310619
39	0.841230744577106
40	0.739544145726716
41	0.637829413198323
42	0.536164545071852
43	0.434612326464246
44	0.333220915733662
45	0.23202481489027
46	0.131046125246327
47	0.0302959926142844
48	-0.0702238441315087
49	-0.17051947404819
50	-0.270603262750341
51	-0.370492372034772
52	-0.470207380460427
53	-0.569771023407973
54	-0.669207061964282
55	-0.768539283031647
56	-0.867790628143478
57	-0.966982445269574
58	-1.06613385607005
59	-1.16526123026949
60	-1.26437775876581
61	-1.36349311750092
62	-1.4626132147893
63	-1.56174001556255
64	-1.66087143671832
65	-1.76000130837891
66	-1.8591193963141
67	-1.95821148104123
68	-2.05725948918069
69	-2.15624167253477
70	-2.25513283010343
71	-2.35390456789601
72	-2.45252559099284
73	-2.5509620219081
74	-2.6491777389574
75	-2.7471347280868
76	-2.84479344151285
77	-2.94211315658215
78	-3.03905232849916
79	-3.13556893099074
80	3.05156452761476
81	2.95601947442727
82	2.86102283961565
83	2.76661558087195
84	2.67283777432359
85	2.57972842979399
86	2.48732533768411
87	2.39566494676226
88	2.30478227144657
89	2.21471082657971
90	2.12548258723638
91	2.0371279707708
92	1.94967583809673
93	1.8631535110861
94	1.77758680295863
95	1.69300005859762
96	1.60941620184904
97	1.52685678702612
98	1.44534205203419
99	1.3648909707395
100	1.28552130241956
101	1.2072496363469
102	1.13009142976791
103	1.05406103774512
104	0.979171733537218
105	0.905435718404438
106	0.832864119955191
