"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	-1.4707044962051
-179	-1.47106431100355
-178	-1.47184845055148
-177	-1.47305382335775
-176	-1.47467550785031
-175	-1.47670673899196
-174	-1.47913888456961
-173	-1.48196141331932
-172	-1.48516185774516
-171	-1.48872577513773
-170	-1.49263671087885
-169	-1.49687616861021
-168	-1.50142359222055
-167	-1.50625636483685
-166	-1.5113498300631
-165	-1.51667734056465
-164	-1.52221033872544
-163	-1.52791847349274
-162	-1.53376975666652
-161	-1.53973076079858
-160	-1.54576685956767
-159	-1.55184251003647
-158	-1.55792157463656
-157	-1.56396767914406
-156	-1.56994460138765
-155	-1.57581668406062
-154	-1.58154926387394
-153	-1.5871091084621
-152	-1.59246485199086
-151	-1.59758742034887
-150	-1.60245043713483
-149	-1.60703060235684
-148	-1.6113080367899
-147	-1.61526658622171
-146	-1.61889408127155
-145	-1.62218255
-144	-1.62512838204733
-143	-1.62773244446156
-142	-1.6300001506309
-141	-1.63194148476424
-140	-1.63357098512777
-139	-1.63490768972519
-138	-1.6359750482964
-137	-1.6368008044124
-136	-1.63741685107853
-135	-1.63785906264748
-134	-1.63816710501346
-133	-1.63838422503921
-132	-1.6385570189845
-131	-1.63873517838932
-130	-1.63897121044611
-129	-1.63932012840715
-128	-1.63983910605804
-127	-1.64058708879929
-126	-1.6416243524882
-125	-1.64301200000022
-124	-1.64481138460326
-123	-1.64708344886929
-122	-1.64988796818851
-121	-1.65328268925948
-120	-1.65732235649865
-119	-1.66205762345797
-118	-1.66753385236022
-117	-1.67378981299209
-116	-1.68085630252868
-115	-1.68875472026263
-114	-1.69749564519993
-113	-1.70707747915343
-112	-1.7174852319021
-111	-1.72868953628937
-110	-1.74064598753032
-109	-1.75329490010115
-108	-1.76656156530592
-107	-1.78035707168083
-106	-1.79457971886876
-105	-1.80911701527292
-104	-1.82384820431056
-103	-1.838647218592
-102	-1.85338592178836
-101	-1.86793746997881
-100	-1.8821796121193
-99	-1.89599775483934
-98	-1.9092876391781
-97	-1.92195751267447
-96	-1.93392972417468
-95	-1.9451417148481
-94	-1.95554642165061
-93	-1.96511214458489
-92	-1.97382195409158
-91	-1.9816727290906
-90	-1.98867392041694
-89	-1.99484613051502
-88	-2.0002195906075
-87	-2.00483260350423
-86	-2.00873000583678
-85	-2.01196168940463
-84	-2.0145812086029
-83	-2.01664449020296
-82	-2.0182086533346
-81	-2.01933094134878
-80	-2.02006776312765
-79	-2.02047383905195
-78	-2.0206014458963
-77	-2.02049975505635
-76	-2.02021425939295
-75	-2.01978628531358
-74	-2.01925258823755
-73	-2.01864503108218
-72	-2.01799034666677
-71	-2.01730998579982
-70	-2.01662005316835
-69	-2.01593133290365
-68	-2.01524940481844
-67	-2.01457485081249
-66	-2.01390354889596
-65	-2.0132270498063
-64	-2.01253302846877
-63	-2.01180579977901
-62	-2.01102688559962
-61	-2.01017561768621
-60	-2.00922975969472
-59	-2.00816613062759
-58	-2.00696121214206
-57	-2.00559172308991
-56	-2.00403514642542
-55	-2.0022701960825
-54	-2.00027721440427
