"Phi [deg]"	"mag(rETheta) [V] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	0.963294166177456
-179	0.956340472155659
-178	0.949001055179208
-177	0.941274793781569
-176	0.933164264194494
-175	0.924675938837797
-174	0.915820359672246
-173	0.906612284304726
-172	0.897070802426998
-171	0.88721941978356
-170	0.877086106401294
-169	0.866703305278074
-168	0.856107897130133
-167	0.845341116158076
-166	0.834448411141531
-165	0.823479245561678
-164	0.81248682994959
-163	0.801527779361699
-162	0.790661688913735
-161	0.779950620809022
-160	0.769458497443651
-159	0.759250397134372
-158	0.7493917519546
-157	0.73994745119325
-156	0.730980859097712
-155	0.722552761723097
-154	0.714720264610399
-153	0.707535670183234
-152	0.701045370516191
-151	0.695288796662862
-150	0.690297469149225
-149	0.686094194719371
-148	0.682692451376214
-147	0.680095996983012
-146	0.67829872646221
-145	0.677284789734934
-144	0.67702896820186
-143	0.677497293237788
-142	0.678647877333073
-141	0.680431918410543
-140	0.682794831301589
-139	0.68567745768771
-138	0.689017306803004
-137	0.6927497832401
-136	0.696809364445364
-135	0.701130697984493
-134	0.705649596526035
-133	0.7103039160116
-132	0.715034309155671
-131	0.719784851960865
-130	0.724503545251636
-129	0.729142696369946
-128	0.733659188282938
-127	0.738014644616417
-126	0.742175499752551
-125	0.746112983307113
-124	0.749803028195283
-123	0.753226111235996
-122	0.756367034929028
-121	0.759214658729925
-120	0.761761587881552
-119	0.764003827650897
-118	0.765940410662263
-117	0.767573004897265
-116	0.768905509824351
-115	0.769943647998032
-114	0.770694559301771
-113	0.771166404771492
-112	0.77136798660594
-111	0.77130839052861
-110	0.770996656103902
-109	0.77044147992607
-108	0.769650955800697
-107	0.768632355140168
-106	0.767391949820544
-105	0.765934878726465
-104	0.764265058177556
-103	0.762385135420176
-102	0.760296483418495
-101	0.757999234322153
-100	0.755492348253127
-99	0.752773713464179
-98	0.749840273490089
-97	0.746688176647087
-96	0.743312943133637
-95	0.739709645036996
-94	0.735873094738781
-93	0.731798037517214
-92	0.727479344538969
-91	0.722912202892603
-90	0.718092299811399
-89	0.71301599874031
-88	0.707680505396396
-87	0.702084022434644
-86	0.696225891745621
-85	0.690106723766257
-84	0.68372851347283
-83	0.677094742942682
-82	0.670210470518765
-81	0.663082406692606
-80	0.655718976843099
-79	0.648130370939519
-78	0.640328580247496
-77	0.632327420977853
-76	0.624142544702088
-75	0.615791435236935
-74	0.607293391585454
-73	0.598669496424533
-72	0.589942569558315
-71	0.581137105722519
-70	0.572279196132896
-69	0.56339643322728
-68	0.554517798158278
-67	0.545673530753636
-66	0.536894981872892
-65	0.52821444834871
-64	0.51966499100397
-63	0.511280236573245
-62	0.503094164720081
-61	0.49514088171724
-60	0.487454382732362
-59	0.48006830502115
-58	0.473015674658728
-57	0.46632864972159
-56	0.460038263053263
-55	0.454174167894129
-54	0.448764389721127
-53	0.443835087621759
-52	0.439410328419972
-51	0.435511876585383
-50	0.432159002703755
-49	0.429368312981287
-48	0.427153601916513
-47	0.42552572991959
-46	0.424492527305445
-45	0.424058725745895
-44	0.42422591794168
-43	0.424992545967233
-42	0.426353918442311
-41	0.428302256385468
-40	0.430826767294272
-39	0.433913746668211
-38	0.43754670583937
-37	0.441706524606424
-36	0.446371626789312
-35	0.451518176450315
-34	0.457120292180911
-33	0.463150276552286
-32	0.469578857588421
-31	0.476375438958174
-30	0.483508355505452
-29	0.490945130747075
-28	0.498652733063596
-27	0.506597827481341
-26	0.514747020182888
-25	0.523067093174294
-24	0.531525226865567
-23	0.540089208671135
-22	0.54872762609516
-21	0.557410043119775
-20	0.566107159051778
-19	0.574790949296303
-18	0.583434787807843
-17	0.592013551215146
-16	0.600503704824481
-15	0.608883370874457
-14	0.61713237954588
-13	0.625232303323689
-12	0.633166475368038
-11	0.64091999258171
-10	0.648479704065814
-9	0.655834185640208
-8	0.662973701074359
-7	0.669890150634399
-6	0.676577007508404
-5	0.683029242630457
-4	0.689243238390707
-3	0.695216691699224
-2	0.700948506871643
-1	0.706438678829766
0	0.711688167165266
1	0.716698761703671
2	0.721472940331923
3	0.72601372001794
4	0.730324502154911
5	0.734408913604493
6	0.738270645087661
7	0.741913288872516
8	0.74534017802555
9	0.748554229814042
10	0.751557796157765
11	0.75435252431097
12	0.756939231192292
13	0.759317794952143
14	0.761487067456046
15	0.763444811351885
16	0.76518766526594
17	0.766711140427706
18	0.768009651652883
19	0.769076585119324
20	0.769904404759944
21	0.770484798383107
22	0.770808863833572
23	0.770867334648259
24	0.770650843766216
25	0.770150222947254
26	0.769356834663897
27	0.7682629323789
28	0.766862044323627
29	0.765149375163291
30	0.763122219279217
31	0.76078037881452
32	0.758126579109896
33	0.755166873686379
34	0.751911030493407
35	0.748372890712294
36	0.744570690967249
37	0.740527339332908
38	0.736270635033532
39	0.731833421214553
40	0.727253659664592
41	0.722574415937592
42	0.71784374306864
43	0.713114452133234
44	0.708443758450492
45	0.703892793496183
46	0.699525974814507
47	0.695410229638023
48	0.691614072738068
49	0.688206545329896
50	0.685256029581851
51	0.682828962137236
52	0.680988479494509
53	0.679793037274953
54	0.679295053280954
55	0.67953962964709
56	0.680563411214573
57	0.682393634705442
58	0.685047416014226
59	0.688531311279285
60	0.692841172307535
61	0.69796229991136
62	0.703869881589704
63	0.710529684560093
64	0.717898962933524
65	0.725927529794251
66	0.734558941437779
67	0.743731741759533
68	0.753380719029019
69	0.763438134009768
70	0.773834886501902
71	0.784501595894292
72	0.795369579422505
73	0.8063717189922
74	0.817443213345205
75	0.828522216923427
76	0.839550370082313
77	0.850473227474882
78	0.861240592670753
79	0.871806767603886
80	0.882130725455258
81	0.892176215241779
82	0.901911805836349
83	0.911310876488286
84	0.920351560221233
85	0.92901664580477
86	0.937293443355182
87	0.945173618034896
88	0.952652995794633
89	0.959731344637053
90	0.966412134472641
91	0.972702278284209
92	0.978611857012243
93	0.984153830317854
94	0.989343735173055
95	0.99419937407093
96	0.998740494543778
97	1.00298846162861
98	1.00696592492972
99	1.01069648199935
100	1.01420433988976
101	1.01751397692071
102	1.02064980694899
103	1.02363584871067
104	1.02649540311799
105	1.02925074171183
106	1.03192280977547
107	1.03453094788031
108	1.0370926358333
109	1.03962326310232
110	1.04213592978615
111	1.04464128204993
112	1.0471473856514
113	1.04965964073114
114	1.05218074043483
115	1.05471067518683
116	1.05724678356405
117	1.05978384975378
118	1.06231424655311
119	1.0648281218199
120	1.06731362525432
121	1.06975717141636
122	1.07214373400373
123	1.07445716565767
124	1.07668053695566
125	1.07879648780792
126	1.08078758420703
127	1.08263667319101
128	1.08432722896325
129	1.08584368335872
130	1.08717173423933
131	1.08829862592481
132	1.08921339639783
133	1.08990708674424
134	1.09037290907886
135	1.09060637004598
136	1.09060534785235
137	1.09037012167308
138	1.08990335315214
139	1.08921002058732
140	1.08829730723146
141	1.08717444594984
142	1.08585252323665
143	1.08434424630463
144	1.08266367761249
145	1.08082594177618
146	1.07884691031463
147	1.0767428700983
148	1.07453018169141
149	1.07222493399597
150	1.06984260170888
151	1.0673977120846
152	1.06490352734855
153	1.06237174882767
154	1.05981224845352
155	1.05723283275552
156	1.05463904380582
157	1.05203400081775
158	1.04941828525697
159	1.04678987142085
160	1.04414410350738
161	1.04147371925682
162	1.03876891934041
163	1.03601748081813
164	1.03320491221823
165	1.03031464712774
166	1.02732827264
167	1.02422578859341
168	1.02098589325797
169	1.01758629097826
170	1.01400401725651
171	1.01021577684074
172	1.00619829055539
173	1.00192864685422
174	0.997384654367779
175	0.992545192039489
176	0.987390553776069
177	0.981902784862986
178	0.976066007697817
179	0.969866734662351
180	0.963294166177456
