"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	1.16175334970743
-179	1.10101708865577
-178	1.04207315896284
-177	0.984899675081234
-176	0.929467479595536
-175	0.875741703034155
-174	0.823683227349815
-173	0.773250033956401
-172	0.724398427258504
-171	0.677084132116629
-170	0.631263268856472
-169	0.586893212580012
-168	0.543933345043172
-167	0.502345707606262
-166	0.462095563088645
-165	0.423151873079439
-164	0.385487695639335
-163	0.349080506603084
-162	0.313912446049319
-161	0.279970490103116
-160	0.247246547205888
-159	0.21573747742465
-158	0.185445033344133
-157	0.156375721619603
-156	0.128540585355106
-155	0.101954909057597
-154	0.0766378499060518
-153	0.0526120013305324
-152	0.0299028972523141
-151	0.00853846760649725
-150	-0.011451542236836
-149	-0.0300361739930099
-148	-0.0471838658152812
-147	-0.0628630531113801
-146	-0.0770427459275166
-145	-0.0896930691835871
-144	-0.100785753852837
-143	-0.110294569490101
-142	-0.118195691163006
-141	-0.124467996651763
-140	-0.129093292577899
-139	-0.132056470740249
-138	-0.13334559824664
-137	-0.132951946937862
-136	-0.130869969052481
-135	-0.127097227060566
-134	-0.121634286118523
-133	-0.114484577708845
-132	-0.105654242788419
-131	-0.0951519622474127
-130	-0.0829887817506646
-129	-0.0691779371645218
-128	-0.0537346858266623
-127	-0.036676147946835
-126	-0.0180211614739998
-125	0.00220984713987439
-124	0.0239949746875611
-123	0.0473109346353155
-122	0.0721331320833133
-121	0.0984357207130568
-120	0.126191642712539
-119	0.155372653146795
-118	0.185949330671529
-117	0.21789107688254
-116	0.251166106964134
-115	0.285741434653809
-114	0.321582854882341
-113	0.358654927777651
-112	0.396920968031155
-111	0.436343043903719
-110	0.476881990374681
-109	0.51849744108421
-108	0.561147883752375
-107	0.604790743638229
-106	0.649382499286671
-105	0.694878834258273
-104	0.741234827711625
-103	0.78840518558395
-102	0.836344512686557
-101	0.885007624312951
-100	0.934349893994378
-99	0.984327631907521
-98	1.03489848625186
-97	1.08602185780926
-96	1.13765931603559
-95	1.18977500358266
-94	1.2423360152697
-93	1.29531273735251
-92	1.34867913356618
-91	1.40241296587565
-90	1.45649594011827
-89	1.51091376965266
-88	1.56565615356011
-87	1.6207166696493
-86	1.67609258623131
-85	1.73178460009693
-84	1.78779651110272
-83	1.84413484606254
-82	1.90080844612311
-81	1.95782803242215
-80	2.0152057646111
-79	2.07295480586026
-78	2.13108890639426
-77	2.18962201560259
-76	2.24856793051654
-75	2.30793998611755
-74	2.36775079069545
-73	2.42801200742926
-72	2.48873418160202
-71	2.54992661142999
-70	2.61159725939803
-69	2.67375270023109
-68	2.73639810116146
-67	2.79953722992414
-66	2.86317248587491
-65	2.92730494972407
-64	2.99193444756447
-63	3.05705962510406
-62	3.12267802825853
-61	-3.09439912068314
-60	-3.02780561163524
-59	-2.96073201093186
-58	-2.89318436063088
-57	-2.82516942348799
-56	-2.75669463326383
-55	-2.68776806012046
-54	-2.61839839348594
-53	-2.54859494451452
-52	-2.47836766994495
-51	-2.40772721874325
-50	-2.33668500239182
-49	-2.26525328904266
-48	-2.19344532097995
-47	-2.12127545393586
-46	-2.04875931577977
-45	-1.97591398097198
-44	-1.90275815596743
-43	-1.82931236951408
-42	-1.75559916057095
-41	-1.68164325544192
-40	-1.60747172476525
-39	-1.53311411030701
-38	-1.4586025111737
-37	-1.38397161917642
-36	-1.3092586937221
-35	-1.23450346783132
-34	-1.15974797870234
-33	-1.08503631863281
-32	-1.01041430499591
-31	-0.935929071217436
-30	-0.86162858413936
-29	-0.78756109657176
-28	-0.713774546999873
-27	-0.640315921101189
-26	-0.567230591742533
-25	-0.494561655322189
-24	-0.422349282619459
-23	-0.350630101713064
-22	-0.279436629109347
-21	-0.208796763129636
-20	-0.138733351046058
-19	-0.0692638386604286
-18	-0.000400008233143177
-17	0.0678521918850153
-16	0.135492724694009
-15	0.202527449393537
-14	0.268968014875922
-13	0.33483166331062
-12	0.400140944815261
-11	0.464923343165649
-10	0.529210810987409
-9	0.593039211059676
-8	0.656447658453253
-7	0.719477756472793
-6	0.782172718071543
-5	0.844576363905776
-4	0.906731988890668
-3	0.968681091449045
-2	1.0304619640658
