"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	-1.67013886427484
-179	-1.67021309742422
-178	-1.66899688368357
-177	-1.66647908383974
-176	-1.66264489827937
-175	-1.65747619155754
-174	-1.65095189184045
-173	-1.64304844970141
-172	-1.63374033862496
-171	-1.62300057854366
-170	-1.6108012638096
-169	-1.59711407810352
-168	-1.58191078074785
-167	-1.56516365149825
-166	-1.5468458838958
-165	-1.52693192042458
-164	-1.50539772581424
-163	-1.48222099767382
-162	-1.45738131610984
-161	-1.43086023599137
-160	-1.40264132704782
-159	-1.37271016803543
-158	-1.34105430182926
-157	-1.30766315855328
-156	-1.2725279538266
-155	-1.23564156895386
-154	-1.19699841949254
-153	-1.15659431815038
-152	-1.11442633744977
-151	-1.07049267707876
-150	-1.02479254035294
-149	-0.977326023750833
-148	-0.928094023058846
-147	-0.877098159265756
-146	-0.824340726968576
-145	-0.769824667675883
-144	-0.713553570002683
-143	-0.655531698322122
-142	-0.595764050953547
-141	-0.534256448403626
-140	-0.471015651520155
-139	-0.40604950865238
-138	-0.339367130028597
-137	-0.2709790865591
-136	-0.20089762915784
-135	-0.129136923467906
-134	-0.0557132936064735
-133	0.0193545327380523
-132	0.0960451867563952
-131	0.174334438517629
-130	0.254195005395927
-129	0.335596400352926
-128	0.418504831620374
-127	0.502883164913263
-126	0.58869095827994
-125	0.67588457801561
-124	0.764417401727845
-123	0.854240111698432
-122	0.94530107824782
-121	1.03754682904608
-120	1.13092259644879
-119	1.22537293122023
-118	1.32084236770376
-117	1.41727612285662
-116	1.51462080978385
-115	1.61282514561793
-114	1.71184063384116
-113	1.8116222023934
-112	1.91212878101449
-111	2.01332380403418
-110	2.11517562798942
-109	2.21765785674468
-108	2.32074956994745
-107	2.42443545343201
-106	2.52870583240225
-105	2.63355660975186
-104	2.73898911265605
-103	2.84500985059127
-102	2.95163018726671
-101	3.05886592768613
-100	-3.11644848733054
-99	-3.00791933855115
-98	-2.89870614983419
-97	-2.78878123642572
-96	-2.67811589533945
-95	-2.56668140281177
-94	-2.45445013334813
-93	-2.34139680535176
-92	-2.22749985395106
-91	-2.11274292485473
-90	-1.99711647358225
-89	-1.88061944215382
-88	-1.76326097051096
-87	-1.6450620832603
-86	-1.52605727504688
-85	-1.4062959018699
-84	-1.28584327345861
-83	-1.16478133634308
-82	-1.04320884141564
-81	-0.921240905955376
-80	-0.799007909403517
-79	-0.676653703857
-78	-0.55433317121514
-77	-0.432209213846045
-76	-0.310449317585888
-75	-0.189221867436381
-74	-0.0686924210853435
-73	0.0509798506488766
-72	0.169645364819161
-71	0.287166813263378
-70	0.403421228968742
-69	0.518301380260848
-68	0.631716494504879
-67	0.743592358754339
-66	0.853870879007578
-65	0.962509200818771
-64	1.06947850243199
-63	1.17476256934409
-62	1.27835624904418
-61	1.38026386959328
-60	1.4804976883791
-59	1.57907641993724
-58	1.67602387565772
-57	1.77136773437357
-56	1.865138451637
-55	1.95736830694393
-54	2.04809058205381
-53	2.1373388595244
-52	2.22514642825584
-51	2.31154578183539
-50	2.39656819545649
-49	2.48024336786917
-48	2.56259911597639
-47	2.64366111114781
-46	2.72345264795046
-45	2.8019944377008
-44	2.87930442096009
-43	2.9553975947772
-42	3.03028585209727
-41	3.10397783227213
-40	-3.10670652417294
-39	-3.0353948718516
-38	-2.96527441293247
-37	-2.89635075851447
-36	-2.82863330244797
-35	-2.76213525992011
-34	-2.69687367326633
-33	-2.63286938048062
-32	-2.57014694239957
-31	-2.50873452534611
-30	-2.44866373711619
-29	-2.38996941553586
-28	-2.33268937034753
-27	-2.27686408082532
-26	-2.22253635318054
-25	-2.16975094339891
-24	-2.11855415255336
-23	-2.06899340276636
-22	-2.02111680277848
-21	-1.97497271246036
-20	-1.93060931555855
-19	-1.88807420949526
-18	-1.84741402018159
-17	-1.80867404861426
-16	-1.77189795458532
-15	-1.73712748123663
-14	-1.70440222253192
-13	-1.6737594340906
-12	-1.64523388631294
-11	-1.6188577573899
-10	-1.59466056268174
-9	-1.57266911609546
-8	-1.55290751850148
-7	-1.53539716790017
-6	-1.52015678595842
-5	-1.50720245566111
-4	-1.49654766512687
-3	-1.48820335309132
-2	-1.48217795212872
-1	-1.47847742633636
0	-1.47710530091842
1	-1.47806268185598
2	-1.48134826461943
3	-1.48695833165535
4	-1.49488673914896
5	-1.5051248943158
6	-1.51766172520008
7	-1.53248364564092
8	-1.54957451869552
9	-1.56891562236302
10	-1.59048562191274
11	-1.61426055346282
12	-1.64021382365354
13	-1.66831623028877
14	-1.69853600865617
15	-1.73083890786235
16	-1.76518830092404
17	-1.80154533153915
18	-1.83986909943668
19	-1.88011688499949
20	-1.92224441251217
21	-1.96620614996585
22	-2.01195564192132
23	-2.05944587056901
24	-2.1086296389065
25	-2.15945996895705
26	-2.21189050723786
27	-2.26587592930252
28	-2.32137233515328
29	-2.3783376276471
30	-2.43673186668308
31	-2.49651759291382
32	-2.55766011590652
33	-2.62012776301719
34	-2.68389208665192
35	-2.74892802899148
36	-2.81521404457581
37	-2.88273218231687
38	-2.95146812948332
39	-3.02141122093995
