"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	-2.55325422827004
-179	-2.59253430632804
-178	-2.63144679666979
-177	-2.67001992914618
-176	-2.70828492806868
-175	-2.7462758416875
-174	-2.78402934360467
-173	-2.82158450030648
-172	-2.85898249786187
-171	-2.89626631972567
-170	-2.93348036656856
-169	-2.97067000821942
-168	-3.00788105727115
-167	-3.04515915382563
-166	-3.08254905143821
-165	-3.12009379580545
-164	3.12535151678339
-163	3.08737955983564
-162	3.04914377940993
-161	3.01061842368143
-160	2.97178518523872
-159	2.93263457957905
-158	2.89316732042709
-157	2.85339563166456
-156	2.81334442275514
-155	2.77305224416024
-154	2.73257193346105
-153	2.69197086391955
-152	2.65133071693586
-151	2.61074671946028
-150	2.57032631684206
-149	2.53018728921492
-148	2.49045536202756
-147	2.45126140401588
-146	2.41273834333058
-145	2.37501795943541
-144	2.33822772078485
-143	2.30248783427563
-142	2.2679086526608
-141	2.23458855350948
-140	2.2026123626097
-139	2.17205035141812
-138	2.14295779745555
-137	2.11537506251804
-136	2.08932811872184
-135	2.06482943756068
-134	2.04187915172987
-133	2.02046640187502
-132	2.00057078855171
-131	1.98216386135474
-130	1.96521059043636
-129	1.94967077893232
-128	1.93550038706606
-127	1.9226527492542
-126	1.91107967410509
-125	1.90073242376784
-124	1.89156257381305
-123	1.88352275796877
-122	1.87656730389938
-121	1.87065276710276
-120	1.86573837019333
-119	1.86178635457547
-118	1.85876225099398
-117	1.85663507483185
-116	1.85537745142885
-115	1.8549656761997
-114	1.85537971398865
-113	1.85660314193363
-112	1.85862304012947
-111	1.86142983455865
-110	1.86501709706872
-109	1.86938130757377
-108	1.87452158409265
-107	1.88043938665655
-106	1.88713820146987
-105	1.89462321194502
-104	1.90290096331621
-103	1.91197902744326
-102	1.92186567413235
-101	1.9325695548281
-100	1.94409940388693
-99	1.95646376185175
-98	1.96967072425118
-97	1.98372771848357
-96	1.99864131036332
-95	2.01441704094702
-94	2.03105929335987
-93	2.04857118854023
-92	2.06695450813803
-91	2.08620964225457
-90	2.10633555930539
-89	2.12732979502205
-88	2.14918845747402
-87	2.17190624497586
-86	2.19547647382864
-85	2.21989111300985
-84	2.24514082315125
-83	2.27121499741165
-82	2.29810180214128
-81	2.32578821553363
-80	2.3542600627546
-79	2.38350204632057
-78	2.41349777075977
-77	2.44422976083407
-76	2.47567947282177
-75	2.50782729857198
-74	2.54065256224387
-73	2.57413350985182
-72	2.60824729196087
-71	2.64296994013134
-70	2.67827633801042
-69	2.71414018832693
-68	2.75053397747413
-67	2.78742893987249
-66	2.82479502489086
-65	2.86260086976209
-64	2.90081378263743
-63	2.93939974064689
-62	2.97832340851685
-61	3.01754818386831
-60	3.05703627568744
-59	3.09674882251832
-58	3.13664605655912
-57	-3.10649778824245
-56	-3.06635297727944
-55	-3.02614579174127
-54	-2.98591691823291
-53	-2.9457063241403
-52	-2.90555278446944
-51	-2.86549338019926
-50	-2.82556298484407
-49	-2.785793759118
-48	-2.74621467572678
-47	-2.7068510970052
-46	-2.66772442711131
-45	-2.62885185768907
-44	-2.59024622143479
-43	-2.55191596217394
-42	-2.51386522338061
-41	-2.47609405017757
-40	-2.43859869339939
-39	-2.40137199888807
-38	-2.36440386128259
-37	-2.32768171943153
-36	-2.29119107025148
-35	-2.2549159792237
-34	-2.21883956845211
-33	-2.18294446688483
-32	-2.1472132114796
-31	-2.11162859234744
-30	-2.0761739388855
-29	-2.04083334735065
-28	-2.00559185307728
-27	-1.97043555254702
-26	-1.93535168179746
-25	-1.90032865828821
-24	-1.86535609343875
-23	-1.83042478273898
-22	-1.79552667973441
-21	-1.76065485941473
-20	-1.72580347568068
-19	-1.69096771670102
-18	-1.65614376115074
-17	-1.62132873757632
-16	-1.58652068848235
-15	-1.55171854018106
-14	-1.51692207899134
-13	-1.48213193400645
-12	-1.44734956636023
-11	-1.41257726469461
-10	-1.3778181463547
-9	-1.34307616369734
-8	-1.30835611478364
-7	-1.27366365762443
-6	-1.23900532705225
-5	-1.20438855319701
-4	-1.16982168044045
-3	-1.13531398561499
-2	-1.10087569409385
-1	-1.06651799229496
0	-1.03225303499294
1	-0.998093945709183
2	-0.964054808336319
3	-0.930150648060988
4	-0.896397399587789
5	-0.862811860650904
6	-0.829411628839528
7	-0.796215019871186
8	-0.763240965633385
9	-0.730508890586424
10	-0.698038565482834
11	-0.665849937811226
12	-0.633962938908708
13	-0.60239726829524
14	-0.571172156448482
15	-0.540306107937273
16	-0.509816627540216
17	-0.47971993266551
18	-0.450030656031262
19	-0.420761543136711
20	-0.391923149533002
21	-0.363523543273176
22	-0.33556801817919
23	-0.308058823712486
24	-0.28099491728773
25	-0.254371744849459
26	-0.228181055469346
27	-0.202410755653906
28	-0.177044809017979
29	-0.152063187016339
30	-0.127441876567956
31	-0.103152950678868
32	-0.0791647085801723
33	-0.0554418924377997
34	-0.0319459883251739
