"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='0.7GHz' Theta='90.0000000000002deg'"
-180	1.16038797068806
-179	1.22250246686425
-178	1.28644010787204
-177	1.35219484119722
-176	1.41974680994387
-175	1.48906098936366
-174	1.5600861298013
-173	1.63275411470356
-172	1.7069798371869
-171	1.78266168159768
-170	1.8596826665827
-169	1.93791226436668
-168	2.01720886040721
-167	2.09742276372625
-166	2.17839962785855
-165	2.25998410270695
-164	2.34202351474969
-163	2.42437137067084
-162	2.50689049797348
-161	2.58945567251281
-160	2.67195563149993
-159	2.75429442430044
-158	2.836392105229
-157	2.91818481674179
-156	2.99962434423007
-155	3.08067724357178
-154	-3.12186165691739
-153	-3.04162943087439
-152	-2.96180841633538
-151	-2.88238654154484
-150	-2.80334415767804
-149	-2.72465548824753
-148	-2.64628997082302
-147	-2.56821347289078
-146	-2.49038937447569
-145	-2.41277951836275
-144	-2.33534503460377
-143	-2.25804704981793
-142	-2.18084729397179
-141	-2.10370861822518
-140	-2.02659543738437
-139	-1.94947410979086
-138	-1.8723132663138
-137	-1.79508409867572
-136	-1.71776061575062
-135	-1.64031987481897
-134	-1.56274219310808
-133	-1.48501134333226
-132	-1.40711473540522
-131	-1.32904358505218
-130	-1.2507930687214
-129	-1.17236246300786
-128	-1.09375526577796
-127	-1.01497929535115
-126	-0.936046763480919
-125	-0.856974317512155
-124	-0.777783047002565
-123	-0.698498450302552
-122	-0.619150357103422
-121	-0.539772803785956
-120	-0.460403859511789
-119	-0.381085402361579
-118	-0.301862846379126
-117	-0.222784822053869
-116	-0.143902814474989
-115	-0.0652707650182001
-114	0.0130553561203739
-113	0.0910179980462962
-112	0.168558488616417
-111	0.245617495466041
-110	0.322135478882071
-109	0.398053127248329
-108	0.473311766655103
-107	0.547853737479606
-106	0.621622732227297
-105	0.694564090581059
-104	0.766625049336672
-103	0.837754946611652
-102	0.907905381314603
-101	0.977030330282364
-100	1.04508622668119
-99	1.11203200419416
-98	1.17782911216731
-97	1.24244150726631
-96	1.30583562732088
-95	1.36798035293273
-94	1.42884696212722
-93	1.48840908287316
-92	1.54664264771352
-91	1.60352585407277
-90	1.65903913306145
-89	1.71316512880762
-88	1.76588868952696
-87	1.81719687071329
-86	1.86707895000231
-85	1.9155264524449
-84	1.96253318413629
-83	2.00809527139647
-82	2.0522112020043
-81	2.09488186437346
-80	2.13611058004612
-79	2.17590312450021
-78	2.21426773104516
-77	2.25121507255129
-76	2.28675821594445
-75	2.32091254482194
-74	2.35369564621951
-73	2.38512715848061
-72	2.41522857833172
-71	2.44402302661655
-70	2.47153497363657
-69	2.49778992661572
-68	2.52281408337464
-67	2.54663395777405
-66	2.56927598378056
-65	2.59076610603726
-64	2.61112936551908
-63	2.63038948916997
-62	2.64856849233502
-61	2.66568630231884
-60	2.68176041055764
-59	2.69680555974067
-58	2.71083347083533
-57	2.72385261344678
-56	2.73586802136945
-55	2.74688115365585
-54	2.756889800117
-53	2.7658880289467
-52	2.77386617317828
-51	2.78081085197069
-50	2.78670502229533
-49	2.79152805645815
-48	2.79525584103061
-47	2.79786089315933
-46	2.7993124908526
-45	2.7995768146753
-44	2.79861709929504
-43	2.79639379448582
-42	2.79286473648856
-41	2.78798533202692
-40	2.78170875876194
-39	2.7739861875141
-38	2.76476703315719
-37	2.75399924265313
-36	2.74162963019198
-35	2.72760427074695
-34	2.71186896443493
-33	2.69436978474043
-32	2.67505372371568
-31	2.65386944646824
-30	2.63076816529656
-29	2.60570464040551
-28	2.5786383088894
-27	2.5495345363027
-26	2.51836597543994
-25	2.48511400489597
-24	2.44977020585033
-23	2.4123378200021
-22	2.37283311587161
-21	2.33128657653413
-20	2.2877438115148
-19	2.24226609161904
-18	2.19493041041892
-17	2.14582899192559
-16	2.09506819146729
-15	2.04276677509218
-14	1.98905360905846
-13	1.9340648403775
-12	1.87794069580844
-11	1.82082206369851
-10	1.7628470450762
-9	1.70414766399278
-8	1.64484691170541
-7	1.58505626734008
-6	1.5248737940552
-5	1.46438286071919
-4	1.4036514911032
-3	1.34273230093906
-2	1.28166295150405
-1	1.2204670282471
0	1.15915524411117
1	1.09772686801673
2	1.03617128706833
3	0.974469623824553
4	0.912596345028597
5	0.850520813579396
6	0.78820874983144
7	0.725623580682115
8	0.662727664930154
9	0.599483391001911
10	0.535854148508695
11	0.471805178517263
12	0.407304309246561
13	0.342322584516357
14	0.27683479201576
15	0.210819897642577
16	0.144261391054656
17	0.0771475463934373
18	0.00947160106696348
19	-0.0587681453474747
20	-0.127568310502305
21	-0.196920485475837
22	-0.266811365904351
23	-0.33722295541414
24	-0.408132837574788
25	-0.479514511167422
26	-0.551337781961076
27	-0.623569202548778
28	-0.696172550255028
29	-0.769109331828077
30	-0.842339302699346
31	-0.915820988126567
32	-0.989512193598716
33	-1.06337049248841
34	-1.13735368006618
35	-1.2114201845749
36	-1.2855294280021
37	-1.35964213136108
38	-1.43372056156508
39	-1.50772871922243
40	-1.58163246877557
41	-1.65539961425664
42	-1.72899992546766
43	-1.80240512057104
44	-1.8755888118848
45	-1.948526422125
46	-2.02119507845727
47	-2.09357349155361
48	-2.16564182645158
49	-2.2373815714372
50	-2.30877541047356
51	-2.37980710392416
52	-2.45046138151729
53	-2.52072385069897
54	-2.59058092275552
55	-2.66001975837009
56	-2.72902823362183
57	-2.79759492684583
58	-2.86570912624405
59	-2.9333608576654
60	-3.00054093154587
61	-3.06724100760259
62	-3.13345367549358
63	3.08401275790952
64	3.01879293413414
65	2.95407617231052
66	2.88986512186552
67	2.82616095041777
68	2.76296322838621
69	2.70026982268515
70	2.63807680531224
71	2.57637838321808
72	2.51516685634728
73	2.45443261109525
74	2.39416415655408
75	2.33434821074168
76	2.27496984343292
77	2.21601268116261
78	2.15745917838733
79	2.0992909566478
80	2.04148921088034
81	1.98403517885349
82	1.92691066618363
83	1.87009861570287
84	1.8135837063597
85	1.75735296361203
86	1.70139636072513
87	1.64570738879551
88	1.59028357292251
89	1.53512691289254
90	1.48024422907099
91	1.42564739783164
92	1.37135346558813
93	1.31738463601051
94	1.26376813091576
95	1.21053593117956
96	1.15772440939722
97	1.10537387054773
98	1.05352802029581
99	1.00223338262999
100	0.951538689228707
101	0.901494262341799
102	0.852151411242351
103	0.803561859687127
104	0.755777218606646
105	0.708848514719705
106	0.662825782201625
107	0.617757721158318
108	0.573691423641262
109	0.530672165393371
110	0.48874325949641
111	0.447945966600748
