"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	-2.00718869247582
1	-1.96589955454399
2	-1.92380126812551
3	-1.88089574884163
4	-1.83719105846428
5	-1.79270163183605
6	-1.74744850369741
7	-1.70145952492984
8	-1.65476955488735
9	-1.60742061348729
10	-1.55946197378228
11	-1.51095017313052
12	-1.46194891917207
13	-1.41252886600196
14	-1.36276723660685
15	-1.31274727016635
16	-1.26255747747689
17	-1.21229069464484
18	-1.16204293421184
19	-1.11191204366937
20	-1.06199619328569
21	-1.01239222747949
22	-0.963193925648203
23	-0.914490228357029
24	-0.866363492145034
25	-0.818887840112362
26	-0.772127675400115
27	-0.726136420478446
28	-0.680955536986465
29	-0.636613869212034
30	-0.593127339919812
31	-0.550499011081632
32	-0.508719505191993
33	-0.467767766349266
34	-0.42761212519176
35	-0.388211619027556
36	-0.349517508846286
37	-0.31147492888024
38	-0.274024602249941
39	-0.237104557946682
40	-0.200651789635448
41	-0.164603804906001
42	-0.128900023856972
43	-0.0934829973538755
44	-0.0582994270287677
45	-0.0233009802388529
46	0.0115550969181241
47	0.0463055573088588
48	0.0809809038616102
49	0.115605292694505
50	0.150196564829985
51	0.184766382660395
52	0.219320448299934
53	0.253858782922218
54	0.288376048780513
55	0.322861898513047
56	0.357301339273349
57	0.391675101976935
58	0.425960008360414
59	0.46012933049828
60	0.494153138852518
61	0.527998635812833
62	0.561630472022356
63	0.595011042599453
64	0.628100759704299
65	0.660858296819781
66	0.693240798697459
67	0.72520404925543
68	0.756702587920332
69	0.787689763114508
70	0.818117709957651
71	0.847937237955885
72	0.877097613684797
73	0.905546223444972
74	0.933228101797731
75	0.960085314000181
76	0.986056183884559
77	1.01107436391398
78	1.03506775127511
79	1.05795726328465
80	1.07965549755357
81	1.1000653179137
82	1.1190784269603
83	1.13657401140503
84	1.15241757878974
85	1.16646014522352
86	1.17853798531878
87	1.18847321828198
88	1.19607557698541
89	1.20114578448555
90	1.20348103224853
91	1.20288309227616
92	1.19916956170158
93	1.19218857575317
94	1.18183696260119
95	1.16808118604404
96	1.15097950822593
97	1.13070268820923
98	1.10754946378409
99	1.08195247722287
100	1.05447072147566
101	1.02576636450644
102	0.996566842782284
103	0.967616630845686
104	0.939625857471893
105	0.913223825230484
106	0.888924116740772
107	0.867104927413339
108	0.84800476128657
109	0.831730833203323
110	0.818276059683155
111	0.807540373634772
112	0.799352838331156
113	0.793492146367439
114	0.789704173595086
115	0.787716107347306
116	0.787247228506835
117	0.788016733876724
118	0.78974910831233
