"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	-2.90758757762964
1	-2.79057978463977
2	-2.67332739095992
3	-2.5567209914474
4	-2.4414578446743
5	-2.32802492109863
6	-2.21670714800501
7	-2.10761317618633
8	-2.0007100170621
9	-1.89585931478003
10	-1.79285044963381
11	-1.69142803931083
12	-1.59131317730888
13	-1.49221882410831
14	-1.39386027563201
15	-1.29596176762055
16	-1.1982602024739
17	-1.10050682432175
18	-1.00246748800526
19	-0.90392200303623
20	-0.804662897855283
21	-0.704493844796407
22	-0.603227908837712
23	-0.500685728538831
24	-0.396693700648628
25	-0.291082216611967
26	-0.1836839865067
27	-0.0743324816600893
28	0.03713946997632
29	0.150900892294073
30	0.26712361423282
31	0.385982886313759
32	0.507657549919607
33	0.632329612773822
34	0.760183042349309
35	0.891401544382287
36	1.02616505240821
37	1.16464462727763
38	1.3069954705958
39	1.45334781837142
40	1.60379563305915
41	1.75838328725297
42	1.91709085306232
43	2.07981916796531
44	2.24637647177052
45	2.41646895064493
46	2.58969775784363
47	2.76556476143661
48	2.94348824303149
49	3.12282810774369
50	-2.98026707930104
51	-2.80008339447014
52	-2.62041956341984
53	-2.4418178863608
54	-2.26473063229276
55	-2.0895110944941
56	-1.91641385163078
57	-1.74560223035912
58	-1.57716043861461
59	-1.41110792830899
60	-1.24741402057548
61	-1.08601144593711
62	-0.926808040526235
63	-0.769696305571031
64	-0.614560855806929
65	-0.461283968539329
66	-0.309749530744864
67	-0.159845700383334
68	-0.011466577805236
69	0.13548685619963
70	0.281106324661794
71	0.425476194165591
72	0.568673642462849
73	0.710768959267919
74	0.851825912030445
75	0.991902129181794
76	1.13104946911799
77	1.26931435491822
78	1.40673806333381
79	1.54335696263346
80	1.6792026980453
81	1.81430232627081
82	1.94867840223045
83	2.08234902212947
84	2.21532782732665
85	2.34762397352493
86	2.47924206961418
87	2.61018209019219
88	2.74043926545775
89	2.87000395188476
90	2.99886148691679
91	3.12699203092666
92	-3.02881490725571
93	-2.90221941416868
94	-2.77644318775157
95	-2.65152847597237
96	-2.52752353820143
97	-2.40448277688131
98	-2.28246683523818
99	-2.16154264743272
100	-2.04178342545359
101	-1.9232685652702
102	-1.80608345356459
103	-1.6903191560669
104	-1.57607196943794
105	-1.46344282105677
106	-1.35253650517973
107	-1.24346074981737
108	-1.13632511623663
109	-1.03123974195365
110	-0.928313947957243
111	-0.827654741031316
112	-0.729365251639756
113	-0.63354315605297
114	-0.54027913742398
115	-0.449655443679991
116	-0.361744599908568
117	-0.276608329177095
118	-0.194296728514486
119	-0.114847736479168
120	-0.0382869159660151
121	0.03537243850204
122	0.106128874833918
123	0.173992059359468
124	0.238981788736857
125	0.301126782964084
126	0.360463312951991
127	0.417033720989759
128	0.470884893712934
129	0.522066744966464
130	0.570630760616968
131	0.616628649519825
132	0.660111135260009
133	0.701126912808125
134	0.739721783696356
135	0.775937973457818
136	0.809813626464896
137	0.841382466334563
138	0.870673604931528
139	0.897711479702829
140	0.922515897484451
141	0.945102162791196
142	0.965481269636082
143	0.983660137804453
144	0.999641876920876
145	1.01342606431639
146	1.02500902539673
147	1.03438410774555
148	1.04154194243552
149	1.04647068787409
150	1.04915625292656
151	1.04958249701447
152	1.04773140538569
153	1.04358323781439
154	1.03711664865417
155	1.0283087754847
156	1.01713529262697
157	1.00357042462794
158	0.987586913520739
159	0.969155932351238
160	0.94824693624105
161	0.924827441258603
162	0.89886272073934
163	0.870315408593832
164	0.839144999749432
165	0.805307239391428
166	0.768753395341276
167	0.729429412017999
168	0.687274950331233
169	0.642222326012137
170	0.594195369910481
171	0.543108248479448
172	0.488864302086984
173	0.431354984259469
174	0.37045901804588
175	0.306041928039881
176	0.237956159566877
177	0.166042060421494
178	0.0901300731909378
179	0.0100445608684537
180	-0.0743902493776051
181	-0.163341695986232
182	-0.256957034929506
183	-0.355348457285868
184	-0.458574915870957
185	-0.566621564163595
186	-0.679378532064782
187	-0.796621835590889
188	-0.918000167055569
189	-1.04303170328905
190	-1.17111442425591
191	-1.30155148327341
192	-1.43359013739743
193	-1.56646946237737
194	-1.69946972262843
195	-1.83195580471086
196	-1.96340875038044
197	-2.09344245783719
198	-2.22180589088261
199	-2.34837361103781
200	-2.47312863960004
201	-2.59614165453076
202	-2.71754975648982
203	-2.83753697546366
204	-2.95631768320148
205	-3.07412330269074
206	3.09199310458004
207	2.97542291376015
208	2.85911876990837
209	2.7428565255686
210	2.62642232767621
211	2.5096133741007
212	2.39223793414191
213	2.27411485139458
214	2.15507269014508
215	2.03494864137132
216	1.91358727060477
217	1.79083916595939
218	1.6665595291281
219	1.54060674397712
220	1.41284095583233
221	1.2831226994013
222	1.15131162470474
223	1.01726538898986
224	0.880838809240767
225	0.741883405538805
226	0.600247510791769
227	0.455777176863108
228	0.308318168338244
229	0.157719396582058
230	0.00383819551279181
231	-0.1534521454681
232	-0.314252230519075
233	-0.478623596210051
234	-0.646573082196464
235	-0.81803521584765
236	-0.992854037621458
237	-1.17076665718163
238	-1.35139160342222
239	-1.53422538479307
240	-1.71865024069612
241	-1.90395460964408
242	-2.08936548547661
243	-2.2740891555
244	-2.45735470229403
245	-2.63845391222157
246	-2.81677216851707
247	-2.99180713728167
248	3.12001056907505
249	2.95258114750629
250	2.7892602955082
251	2.6301352780466
252	2.4752289838969
253	2.3245179314532
254	2.17794818874558
255	2.03544858417511
256	1.89694109442735
257	1.76234860264048
258	1.63160036619278
259	1.50463557062039
260	1.38140531848658
261	1.26187334201418
262	1.1460156572736
263	1.03381930852468
264	0.925280291349617
265	0.82040069701095
266	0.719185091501832
267	0.62163613455512
268	0.52774946040731
269	0.437507887375518
270	0.350875100074008
271	0.267789055720056
272	0.188155497442332
273	0.111842096414533
274	0.0386738634578691
275	-0.0315694677685094
276	-0.0991534202510596
277	-0.164385615966493
278	-0.227609284206603
279	-0.289193649221569
280	-0.349521858363435
281	-0.408977500883417
282	-0.46793100213631
283	-0.526727196409335
284	-0.58567517890014
285	-0.645041167168917
286	-0.705044656870905
287	-0.765857734293728
288	-0.827607084603126
289	-0.89037804622194
290	-0.954220006413246
291	-1.01915248223352
292	-1.08517134473071
293	-1.15225478447569
294	-1.22036875427596
295	-1.28947174257798
296	-1.35951882092143
297	-1.43046497022234
298	-1.50226772703558
299	-1.5748892073546
300	-1.64829756714701
301	-1.72246795022186
302	-1.79738295874861
303	-1.873032662477
304	-1.94941414147292
305	-2.02653053570309
306	-2.10438955484967
307	-2.18300138553973
308	-2.26237592377483
309	-2.34251926188247
310	-2.42342937712058
311	-2.50509100938921
312	-2.58746978457872
313	-2.67050574231529
314	-2.75410656196152
315	-2.83814093999182
316	-2.92243273454837
317	-3.00675662454374
318	-3.09083608538077
319	3.10884089360364
320	3.02627600227723
321	2.94506420201741
322	2.86564095024972
323	2.7884535534385
324	2.7139461027479
325	2.64254479610095
326	2.57464507818004
327	2.51060171896666
328	2.45072247866056
329	2.39526549014346
330	2.34444004048373
331	2.29841012308903
332	2.25729998529393
333	2.22120089373236
334	2.19017843893137
335	2.16427985259756
336	2.14354097469404
337	2.1279926542631
338	2.11766648274174
339	2.11259983595091
340	2.11284024175419
341	2.11844909783154
342	2.12950474135872
343	2.1461048214363
344	2.1683678457547
345	2.1964336635872
346	2.23046250619666
347	2.27063203480029
348	2.3171316559966
349	2.37015318374288
350	2.42987681516895
351	2.49645144925765
352	2.56996876946373
353	2.65043142536865
354	2.73771724168153
355	2.83154363199191
356	2.9314388898573
357	3.03672882342091
358	-3.13663836788711
359	-3.02331237033622
360	-2.90758757762964
