"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	1.63686003644004
1	1.64257429725765
2	1.65312559893387
3	1.66834134488859
4	1.68800771846322
5	1.71186788855009
6	1.73962283280942
7	1.77093515780265
8	1.8054359885165
9	1.84273461303099
10	1.88243017135761
11	1.92412435790409
12	1.96743394297404
13	2.01200195274756
14	2.05750657042634
15	2.10366717663345
16	2.15024735020395
17	2.19705501722404
18	2.24394020651719
19	2.29079101831237
20	2.33752844617437
21	2.38410063795401
22	2.43047707479309
23	2.47664302069604
24	2.52259447309259
25	2.56833374164411
26	2.61386570438257
27	2.65919473734371
28	2.70432228306567
29	2.74924501022141
30	2.79395351671146
31	2.83843153781057
32	2.88265563626846
33	2.92659537014237
34	2.97021395457748
35	3.01346945386789
36	3.0563165578018
37	3.09870900877672
38	3.14060274977738
39	-3.10122545396888
40	-3.06043204626327
41	-3.02021299707712
42	-2.98055637404961
43	-2.94142100823758
44	-2.90272979201698
45	-2.86436345963821
46	-2.82615554138821
47	-2.7878892741932
48	-2.74929723999676
49	-2.71006434731245
50	-2.66983445479428
51	-2.62822048432293
52	-2.58481735926964
53	-2.53921664172915
54	-2.49102144575529
55	-2.43986015186997
56	-2.38539765552738
57	-2.32734329168624
58	-2.26545508294869
59	-2.19954044307034
60	-2.12945384023357
61	-2.05509214073394
62	-1.97638841541301
63	-1.89330493216434
64	-1.80582592533521
65	-1.7139505717773
66	-1.61768644755414
67	-1.51704360941318
68	-1.4120293501399
69	-1.30264361812693
70	-1.18887506618201
71	-1.07069769894121
72	-0.948068119227707
73	-0.820923430037672
74	-0.689179931184827
75	-0.552732859882677
76	-0.411457564120256
77	-0.265212664265088
78	-0.113845940091297
79	0.0427961528914408
80	0.204854343276097
81	0.372436874953682
82	0.545593827616034
83	0.724285880752589
84	0.908349561403396
85	1.09746320066544
86	1.29112017607727
87	1.48861760028819
88	1.68906814975003
89	1.89143920760556
90	2.09461712330219
91	2.29748712373955
92	2.49901434506855
93	2.69831107228675
94	2.89467977143832
95	3.08762864819891
96	-3.00632217431078
97	-2.82092462644447
98	-2.63934816206532
99	-2.46147369340489
100	-2.2871110187161
101	-2.11602556897256
102	-1.94795913617665
103	-1.78264496746002
104	-1.61981810055826
105	-1.45922195044839
106	-1.30061209298776
107	-1.14375804081933
108	-0.988443636106359
109	-0.834466527519159
110	-0.681637068635892
111	-0.529776873799109
112	-0.378717192639799
113	-0.228297211355808
114	-0.0783623527855344
115	0.0712373755855988
116	0.220648949339504
117	0.370017779038972
118	0.519489013058631
119	0.669208650473466
120	0.819324410066921
121	0.969986282995693
122	1.12134667270794
123	1.27355999670152
124	1.42678159178861
125	1.58116573039128
126	1.73686252521728
127	1.89401348232469
128	2.05274547179318
129	2.21316294015362
130	2.37533831305123
131	2.5393007544127
132	2.70502377522729
133	2.87241261336335
134	3.04129278651271
135	-3.07178365932178
136	-2.90080031866407
137	-2.72938475473438
138	-2.55805567602546
139	-2.38738860328481
140	-2.21798970195228
141	-2.05046597401582
142	-1.88539551289905
143	-1.7233015060437
144	-1.56463282226016
145	-1.4097526393237
146	-1.25893509059842
147	-1.11236872918325
148	-0.970164935730016
149	-0.832369240047433
150	-0.698973755324486
151	-0.569929357097717
152	-0.445156719106198
153	-0.324555742140489
154	-0.208013233115759
155	-0.0954089038168837
156	0.0133801216170622
157	0.118476050092395
158	0.219998166882795
159	0.318061359068867
160	0.412775218687474
161	0.504243564154485
162	0.592564252075229
163	0.677829181206963
164	0.76012441518295
165	0.839530370648877
166	0.916122033156084
167	0.989969175144737
168	1.06113655930404
169	1.12968411713618
170	1.19566709721263
171	1.25913618083982
172	1.32013756500421
173	1.37871301382744
174	1.4348998805516
175	1.48873110246513
176	1.54023517130755
177	1.5894360816631
178	1.63635325976047
179	1.68100147501401
180	1.72339073663941
181	1.76352617781699
182	1.80140793021488
183	1.83703099227336
184	1.87038509552933
185	1.90145457445076
186	1.93021824675544
187	1.95664931297627
188	1.98071528603702
189	2.00237796370204
