"Phi [deg]"	"mag(rETheta) [V] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	1.41751588076091
1	1.45579872976813
2	1.49454905432366
3	1.53344864778407
4	1.57221698921745
5	1.61060841100558
6	1.64840857703775
7	1.68543064784202
8	1.72151141325256
9	1.7565075957537
10	1.79029246624954
11	1.82275286560332
12	1.85378668696743
13	1.88330084336123
14	1.91120972048577
15	1.93743409528234
16	1.96190048554434
17	1.98454088452643
18	2.00529282662893
19	2.02409972557114
20	2.04091142467643
21	2.05568489960348
22	2.06838505664575
23	2.07898557413047
24	2.08746974000969
25	2.0938312449993
26	2.09807489717435
27	2.10021723041941
28	2.10028698527924
29	2.09832544635636
30	2.09438662533515
31	2.08853728292685
32	2.08085678654514
33	2.0714368034076
34	2.06038083113012
35	2.04780356987938
36	2.03383014193059
37	2.01859516619859
38	2.00224169711432
39	1.98492003922007
40	1.96678645113441
41	1.94800175511623
42	1.92872987130547
43	1.90913629873418
44	1.88938656821849
45	1.86964469502156
46	1.85007166143007
47	1.83082396077946
48	1.81205223465973
49	1.79390003372159
50	1.77650272944579
51	1.75998659931805
52	1.7444681011133
53	1.73005334367257
54	1.71683775209723
55	1.70490591531756
56	1.6943315942936
57	1.68517786052253
58	1.67749732788944
59	1.67133243691593
60	1.66671574962663
61	1.66367021577351
62	1.66220937690301
63	1.66233748326569
64	1.66404950910445
65	1.66733106346034
66	1.67215820524496
67	1.67849718190397
68	1.68630411962795
69	1.6955246990772
70	1.70609385359529
71	1.71793552683709
72	1.73096252388446
73	1.74507648477908
74	1.76016800265283
75	1.77611690104883
76	1.7927926773472
77	1.81005511208546
78	1.82775503787798
79	1.84573525688484
80	1.86383159245682
81	1.88187405861884
82	1.89968813024726
83	1.91709609686565
84	1.93391848361352
85	1.94997552383025
86	1.96508866858429
87	1.97908211917251
88	1.9917843690016
89	2.00302974130434
90	2.01265990886758
91	2.02052538144424
92	2.02648694591487
93	2.03041704370707
94	2.03220106963244
95	2.03173857631333
96	2.02894436887976
97	2.0237494757267
98	2.01610198290524
99	2.00596772221113
100	1.99333080622274
101	1.97819400737855
102	1.96057898258194
103	1.94052634964904
104	1.91809562700675
105	1.8933650531979
106	1.86643130771695
107	1.83740915919873
108	1.80643107068727
109	1.77364679423607
110	1.73922298798524
111	1.70334288758598
112	1.66620605975357
113	1.62802825805228
114	1.58904138882556
115	1.54949357741872
116	1.50964930033537
117	1.46978951659727
118	1.43021169052521
119	1.39122954842634
120	1.35317235488973
121	1.31638343498937
122	1.28121761537794
123	1.24803722443784
124	1.21720630007934
125	1.18908272901224
126	1.16400820847875
127	1.14229619487312
128	1.12421837254644
129	1.10999059059793
130	1.09975958294168
131	1.09359198812596
132	1.09146711392778
133	1.09327450533158
134	1.0988167308392
135	1.10781705304498
136	1.11993098798153
137	1.13476034247723
138	1.15186821698706
139	1.17079363851967
140	1.19106484126203
141	1.21221062098942
142	1.23376955758438
143	1.2552971751534
144	1.27637127869248
145	1.29659578385948
146	1.31560336754316
147	1.33305723762853
148	1.34865227171365
149	1.36211572098349
150	1.37320762547631
151	1.38172104463093
152	1.38748217345487
153	1.39035038946948
154	1.39021825758576
155	1.38701150784265
156	1.38068899315465
157	1.37124262970938
158	1.35869732047255
159	1.34311086162218
160	1.32457383198945
161	1.30320946611553
162	1.27917351168251
163	1.25265407102604
164	1.2238714230944
165	1.19307781506422
166	1.16055719975803
167	1.12662487321246
168	1.09162693263026
169	1.05593942434081
170	1.01996698022942
171	0.984140647040472
172	0.948914498536612
173	0.914760498239416
174	0.882160980021968
175	0.851598089045383
176	0.823539656373005
177	0.798421359811304
178	0.776625716915381
179	0.758459433945083
180	0.744131699088134
181	0.733736778959585
182	0.727244304838166
183	0.724499645346095
184	0.725234898798163
185	0.729088892625971
186	0.735632916241652
187	0.744398269679702
188	0.754902130654526
189	0.76666935637181
190	0.779249130080398
191	0.792226438874186
192	0.805229053468654
193	0.817930983732089
194	0.830053411102823
195	0.841363971389522
196	0.851675073354742
197	0.860841748152248
198	0.868759360201136
199	0.875361379950677
200	0.880617321369235
201	0.884530875808583
202	0.88713822229793
203	0.888506456291233
204	0.888732049848425
205	0.887939233181905
206	0.886278169031812
207	0.883922777610555
208	0.881068062627964
209	0.877926791464661
210	0.874725399488813
211	0.871699025039401
212	0.86908564234972
213	0.867119346754966
214	0.866022957119586
215	0.866000224680365
216	0.867228057666312
217	0.869849263130454
218	0.873966346078188
219	0.879636871991446
220	0.886870786830568
221	0.895629911497076
222	0.90582961546798
223	0.917342466058813
