"Phi [deg]"	"mag(rETheta) [V] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	2.01369703064798
1	2.02120467095637
2	2.02676650868753
3	2.03025609198112
4	2.03156053376571
5	2.03058172596245
6	2.02723743563423
7	2.02146226801713
8	2.01320848321675
9	2.00244665592411
10	1.9891661707973
11	1.97337555011674
12	1.95510261486646
13	1.93439448539315
14	1.91131743308556
15	1.88595659989824
16	1.8584156077766
17	1.82881608484656
18	1.79729713928619
19	1.76401481471761
20	1.72914156229568
21	1.69286576388987
22	1.65539133721296
23	1.61693744667334
24	1.57773833219998
25	1.53804325125367
26	1.49811650554475
27	1.4582374925093
28	1.41870068153694
29	1.37981536625836
30	1.34190498841285
31	1.30530577012856
32	1.27036433814745
33	1.23743398935998
34	1.20686925180893
35	1.1790184636231
36	1.15421424846879
37	1.13276202447667
38	1.11492703504919
39	1.10092078849517
40	1.0908881520792
41	1.08489655136138
42	1.08292867451814
43	1.08487972930961
44	1.09055969725621
45	1.09970031599005
46	1.11196587967621
47	1.12696653319201
48	1.14427261839718
49	1.16342878316218
50	1.18396689095863
51	1.20541715640446
52	1.22731728693819
53	1.249219679575
54	1.27069688992319
55	1.29134566994237
56	1.31078988488404
57	1.32868259337818
58	1.344707528224
59	1.35858016340954
60	1.37004850378733
61	1.37889369189938
62	1.38493049305392
63	1.38800769466216
64	1.38800843801478
65	1.38485048882939
66	1.37848644576756
67	1.36890388259001
68	1.35612541875497
69	1.34020871428322
70	1.32124638692682
71	1.29936585242165
72	1.27472909114549
73	1.24753234593544
74	1.21800575493258
75	1.18641291844616
76	1.15305038766523
77	1.11824704248908
78	1.08236329181502
79	1.04578997758787
80	1.00894678899033
81	0.97227989216035
82	0.936258355555662
83	0.901368814022415
84	0.86810769704097
85	0.836970307173183
86	0.80843616254554
87	0.782950418035475
88	0.76090193143833
89	0.74259961372526
90	0.72824987413806
91	0.717938807912481
92	0.711622767036147
93	0.70912980448699
94	0.710172381647665
95	0.714369376209712
96	0.721273691734971
97	0.730401208411191
98	0.741257416088668
99	0.753359371162843
100	0.766252036496445
101	0.779519182986252
102	0.792789696889734
103	0.805740391558496
104	0.818096396976968
105	0.829630030010769
106	0.840158831025267
107	0.849543245291206
108	0.857684255053685
109	0.864521135518056
110	0.870029410955998
111	0.87421901796931
112	0.877132633899034
113	0.87884409299357
114	0.87945678658669
115	0.879101923341715
116	0.877936510510806
117	0.876140907771909
118	0.873915803834482
119	0.871478476439763
120	0.869058223459166
121	0.866890901458226
122	0.865212581816911
123	0.864252433132292
124	0.864225056096917
125	0.865322619738658
126	0.867707254995092
127	0.871504228235444
128	0.876796420884455
129	0.883620569005271
130	0.891965572062142
131	0.901772984577178
132	0.912939592919581
133	0.925321790715944
134	0.938741331835913
135	0.952991975913463
136	0.967846546897236
137	0.983063985340843
138	0.998396068136722
139	1.01359357311273
140	1.02841176299864
141	1.04261514309865
142	1.05598150533731
143	1.06830530869072
144	1.07940046565009
145	1.0891026106437
146	1.09727092354298
147	1.1037895730811
148	1.10856883388974
149	1.11154591869969
150	1.11268555510505
151	1.1119803246555
152	1.10945077103275
153	1.10514527356716
154	1.09913967213031
155	1.09153661926656
156	1.08246462517143
157	1.07207675087257
158	1.06054889515484
159	1.04807761233003
160	1.03487739247073
161	1.02117733556015
162	1.00721715928073
163	0.993242500553145
164	0.979499507126823
165	0.966228770191566
166	0.953658722364222
167	0.941998713637822
168	0.931432071632955
169	0.922109536710413
170	0.914143518086581
171	0.907603624884957
172	0.90251387261778
173	0.898851848954828
174	0.896549955571933
175	0.895498651578381
176	0.895551441930786
177	0.896531212907126
178	0.898237437294701
179	0.900453760498877
180	0.902955526761437
181	0.905516893656674
182	0.907917291164446
183	0.909947089343404
184	0.911412432084373
185	0.912139266341585
186	0.911976644974167
187	0.910799409024478
188	0.908510365932826
189	0.905042078221714
190	0.900358366345693
191	0.89445561234791
192	0.887363929062453
193	0.879148232970579
194	0.869909226467973
195	0.859784255370385
196	0.848947957650214
197	0.837612557565026
198	0.82602758486285
199	0.814478714361827
200	0.803285335772651
201	0.792796395400033
202	0.783384030427457
203	0.775434584051758
204	0.769336790304885
205	0.765467280752864
206	0.764174079028765
207	0.765759332158003
208	0.770463024267957
209	0.77844963522418
210	0.789799493749818
211	0.804505914696195
212	0.822478259462521
213	0.843550094843866
214	0.867490925750126
215	0.894019698193211
216	0.92281840163449
217	0.953544509802411
218	0.985841511075508
219	1.01934725026505
220	1.05370015473547
221	1.08854363130318
222	1.12352901627034
223	1.15831747408343
224	1.19258120448027
225	1.22600425972838
226	1.25828320962374
227	1.28912783168799
228	1.31826195164329
229	1.34542451583272
230	1.37037094229795
231	1.39287476961394
232	1.41272960109501
233	1.42975132553723
234	1.44378058334832
235	1.45468543801149
236	1.46236420671724
237	1.46674840009954
238	1.46780571870336
239	1.46554305233606
240	1.46000942683456
241	1.45129883971464
242	1.43955291992883
243	1.42496333529917
244	1.40777385129258
245	1.38828191334778
246	1.3668395784321
247	1.34385355695468
248	1.31978404270692
249	1.29514190986597
250	1.27048375439978
251	1.2464041776282
252	1.22352469449879
253	1.20247875769991
254	1.18389268799685
255	1.1683628408782
256	1.15643011150862
257	1.14855377334181
258	1.14508742862287
259	1.14626021269818
260	1.15216607434201
261	1.16276288604078
262	1.17788154598014
263	1.19724357345723
264	1.22048446170508
265	1.24717954125733
266	1.2768693356667
267	1.30908213327152
268	1.34335243664281
269	1.37923481757968
270	1.41631335038679
271	1.45420718457207
272	1.49257298821581
273	1.53110501177749
274	1.56953345377844
275	1.60762170357066
276	1.64516292316488
277	1.68197632603913
278	1.71790342233375
279	1.7528044275928
280	1.78655497434992
281	1.81904321968492
282	1.85016740483726
283	1.87983389301777
284	1.90795568726253
285	1.93445141058115
286	1.95924471518559
287	1.98226407588394
288	2.00344291451931
289	2.02271999737317
290	2.04004004543417
291	2.05535449799777
292	2.06862237278257
293	2.07981117015903
294	2.0888977746985
295	2.09586931359046
296	2.10072393810603
297	2.10347150082869
298	2.10413410752587
299	2.10274652807706
300	2.09935645567202
301	2.09402460749178
302	2.08682466330679
303	2.07784304095373
304	2.06717850961646
305	2.05494164340519
306	2.04125411908538
307	2.02624786314525
308	2.01006405488365
309	1.99285199400026
310	1.97476784338556
311	1.95597326049292
312	1.93663393381667
313	1.91691804450912
314	1.89699467687558
315	1.87703220513969
316	1.85719668714568
317	1.83765029818304
318	1.81854983947489
319	1.80004535567332
320	1.7822788936234
321	1.76538343047971
322	1.74948199294445
323	1.73468698111355
324	1.72109970057471
325	1.70881009563468
326	1.69789666568825
327	1.68842653672246
328	1.68045565173406
329	1.67402903828428
330	1.66918110916645
331	1.66593595355111
332	1.66430758096764
333	1.66430008866699
334	1.66590773353366
335	1.66911490176625
336	1.67389598187505
337	1.68021515800007
338	1.6880261501095
339	1.69727193451588
340	1.70788448188633
341	1.71978455041764
342	1.73288156933368
343	1.74707364286227
344	1.76224769807835
345	1.77827979226919
346	1.79503558757962
347	1.81237099331966
348	1.83013296998323
349	1.8481604840505
350	1.86628559913901
351	1.88433468696208
352	1.90212974064022
353	1.91948977290251
354	1.93623228228402
355	1.95217477126169
356	1.96713630110822
357	1.98093906888564
358	1.99340999233098
359	2.00438228836828
360	2.01369703064798
