"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	2.48473354013711
1	2.57057900454757
2	2.65510926457976
3	2.73850351395012
4	2.82093852794055
5	2.90258277756566
6	2.98359272508682
7	3.06411079051732
8	-3.13892075831014
9	-3.05901850884954
10	-2.97926909112624
11	-2.89958692262609
12	-2.81989828107662
13	-2.74013998140097
14	-2.6602580496996
15	-2.58020645397708
16	-2.4999459314341
17	-2.4194429369489
18	-2.33866872582629
19	-2.25759857521355
20	-2.17621114219224
21	-2.0944879520195
22	-2.0124130069763
23	-1.9299725045066
24	-1.84715465256286
25	-1.76394957009731
26	-1.68034926125792
27	-1.59634765288492
28	-1.51194068619308
29	-1.42712645491985
30	-1.34190538358855
31	-1.25628044076534
32	-1.17025738318009
33	-1.08384502725158
34	-0.997055544840097
35	-0.909904779890149
36	-0.822412581989942
37	-0.73460315174334
38	-0.646505391234247
39	-0.558153250800542
40	-0.469586060901568
41	-0.38084883518119
42	-0.291992528070176
43	-0.20307422766341
44	-0.114157262426604
45	-0.0253111988517049
46	0.0633882931712973
47	0.151859729437046
48	0.240016274378795
49	0.327766392678802
50	0.415014697766639
51	0.50166299709596
52	0.587611524297879
53	0.672760337601063
54	0.757010852990412
55	0.840267470265573
56	0.922439241307195
57	1.00344152325378
58	1.08319755558043
59	1.16163989968208
60	1.23871168266836
61	1.31436759357778
62	1.38857458976572
63	1.46131228325385
64	1.53257299062794
65	1.60236144480956
66	1.67069418182523
67	1.73759862966985
68	1.8031119386746
69	1.8672796027047
70	1.93015392745137
71	1.99179240566921
72	2.05225605932526
73	2.11160780541401
74	2.16991089606349
75	2.22722747514098
76	2.28361728364153
77	2.33913653555501
78	2.39383697547088
79	2.44776511960267
80	2.50096167373214
81	2.55346111512297
82	2.60529142087141
83	2.65647392240006
84	2.70702326467687
85	2.75694744897452
86	2.80624793925111
87	2.85491981419998
88	2.90295194937922
89	2.95032721633007
90	2.99702268802447
91	3.04300984219832
92	3.08825475603761
93	3.13271828724189
94	-3.10682906949493
95	-3.06406581043819
96	-3.02223114527949
97	-2.98138367262202
98	-2.94158661818373
99	-2.90290779468577
100	-2.86541959274917
101	-2.82919900501897
102	-2.79432768569444
103	-2.76089204737443
104	-2.72898339648783
105	-2.6986981073936
106	-2.67013783327452
107	-2.64340974892314
108	-2.61862681605582
109	-2.59590805542807
110	-2.57537880119349
111	-2.55717090098239
112	-2.54142280933101
113	-2.52827950161899
114	-2.51789210996149
115	-2.51041715134649
116	-2.50601518234674
117	-2.50484867615229
118	-2.50707888117826
119	-2.51286139463651
120	-2.52234018295842
121	-2.53563982374665
122	-2.55285585670172
123	-2.57404334162183
124	-2.59920405158322
125	-2.6282731784884
126	-2.66110695356585
127	-2.69747308261638
128	-2.73704619515743
129	-2.77941040426541
130	-2.82407040776048
131	-2.87047131588845
132	-2.91802577772597
133	-2.96614542444082
134	-3.01427265148624
135	-3.0619086763171
136	-3.10863466490653
137	3.12906109347504
138	3.08503819343947
139	3.04261964961354
140	3.00185978356505
141	2.96274184123868
142	2.9251915127524
143	2.88909015264028
144	2.854286721348
145	2.82060793616642
146	2.78786647218864
147	2.75586728509591
148	2.72441225650383
149	2.69330341674693
150	2.66234500572685
151	2.63134461077624
152	2.60011358613974
153	2.56846692099032
154	2.53622268721249
155	2.50320116713585
156	2.46922373602769
157	2.43411155463944
158	2.39768411332131
159	2.35975766106735
160	2.32014355048676
161	2.27864653370859
162	2.23506305579145
163	2.18917961321885
164	2.14077127823044
165	2.08960053862661
166	2.0354166715026
167	1.97795596235948
168	1.91694320099353
169	1.85209503090006
170	1.78312588849563
171	1.70975741338445
172	1.63173228348268
173	1.54883333118113
174	1.46090838690007
175	1.36790040791001
176	1.26988095857998
177	1.1670830615757
178	1.05992723409797
179	0.94903301726354
180	0.835208679764404
181	0.719414972227136
182	0.602704692501335
183	0.486146655573049
184	0.370747604966765
185	0.257386281329158
186	0.146769936125465
187	0.0394169719659897
188	-0.0643369991741107
189	-0.164316411879286
190	-0.260474144597823
191	-0.352857781522262
192	-0.441578347278161
193	-0.52678397504354
194	-0.608639308882584
195	-0.687310396614769
196	-0.762954308254995
197	-0.835712553042999
198	-0.905707413118626
199	-0.973040453560565
200	-1.03779263872248
201	-1.10002564736661
202	-1.15978411793046
203	-1.21709866517301
204	-1.27198958996432
205	-1.32447125572536
206	-1.37455712784971
207	-1.4222654648524
208	-1.46762560959098
209	-1.51068475378395
210	-1.55151494019478
211	-1.59021993131603
212	-1.62694142765177
213	-1.66186399079179
214	-1.69521795492528
215	-1.72727963796553
216	-1.75836832460475
217	-1.78883979858298
218	-1.81907662190229
219	-1.84947582391489
220	-1.88043507282166
221	-1.91233865497914
222	-1.945544616323
223	-1.98037421711552
224	-2.01710447031576
225	-2.05596407106079
226	-2.09713258375806
227	-2.1407424141343
228	-2.18688289539693
229	-2.23560575884588
230	-2.28693130993075
231	-2.34085474909553
232	-2.39735222279896
233	-2.45638633351642
234	-2.51791095992915
235	-2.58187533197164
236	-2.64822736942348
237	-2.71691633099341
238	-2.78789483876792
239	-2.86112034599772
240	-2.9365561092473
241	-3.01417171267932
242	-3.09394317544283
243	3.10733265240555
244	3.02329756816582
245	2.93714499953352
246	2.84888038603189
247	2.75850861338287
248	2.66603670705486
249	2.5714771335322
250	2.47485172844239
251	2.37619623008611
252	2.27556533456418
253	2.17303810335782
254	2.06872344888553
255	1.9627653077396
256	1.85534700278113
257	1.74669422012533
258	1.63707601647939
259	1.52680335537985
260	1.41622486383816
261	1.30571979592076
262	1.19568854840284
263	1.08654142998213
264	0.97868666154485
265	0.872518713835731
266	0.768408037847746
267	0.666693025451416
268	0.567674707445457
269	0.471614329521108
270	0.378733617255715
271	0.289217300674958
272	0.203217337932079
273	0.120858249136843
274	0.0422430201798828
